applicant_name,career_stage,country,first_time,gender,subfield
Jack Hurst,senior-faculty,non-OECD,returning,male,astrophysics
Caryn Cobb,junior-faculty,OECD,returning,female,astrophysics
Adolfo Jordan,senior-faculty,OECD,returning,male,solar
Ben Mays,junior-faculty,OECD,first_time,male,cosmology
Austin Williams,junior-faculty,OECD,returning,male,exoplanets
Daniel Henley,senior-faculty,OECD,first_time,male,cosmology
Jack Sedillo,junior-faculty,OECD,first_time,male,exoplanets
John Hoffman,junior-faculty,OECD,first_time,male,cosmology
Richard Mosley,junior-faculty,OECD,returning,male,cosmology
Ben Mulholland,junior-faculty,non-OECD,first_time,male,
Robert Mcdivitt,junior-faculty,OECD,returning,male,astrophysics
Charles Carter,junior-faculty,OECD,returning,male,cosmology
Paul Recher,junior-faculty,OECD,first_time,male,cosmology
Marc Wood,junior-faculty,OECD,returning,male,solar
Phillip Kitt,junior-faculty,OECD,returning,male,solar
David Coffey,junior-faculty,OECD,returning,male,cosmology
Carol Tate,senior-faculty,non-OECD,returning,female,cosmology
Mitchell Tyler,junior-faculty,OECD,first_time,male,astrophysics
Eduardo Rottman,student,OECD,returning,male,
Reginald Drew,junior-faculty,OECD,returning,male,cosmology
Gerald Bunn,senior-faculty,OECD,returning,male,astrophysics
Melvin Emory,junior-faculty,OECD,returning,male,cosmology
Aaron Vetter,junior-faculty,OECD,returning,male,solar
Bruce Johnson,senior-faculty,non-OECD,returning,male,cosmology
Beverly Peterson,junior-faculty,OECD,returning,female,cosmology
Gary Burns,senior-faculty,OECD,returning,male,cosmology
Cedric Glenn,junior-faculty,OECD,first_time,male,cosmology
Mike Cantu,senior-faculty,OECD,returning,male,cosmology
Vickie Minjarez,junior-faculty,OECD,first_time,female,exoplanets
Shane Lee,junior-faculty,OECD,first_time,male,cosmology
Paula Jopling,junior-faculty,OECD,returning,female,astrophysics
Katherine Pelland,junior-faculty,OECD,first_time,female,cosmology
Randy Baker,senior-faculty,OECD,returning,male,cosmology
Marco Babers,senior-faculty,OECD,returning,male,cosmology
Mervin Hicks,junior-faculty,OECD,returning,male,
Melvin Starks,junior-faculty,OECD,returning,male,astrophysics
Donald Moss,junior-faculty,OECD,returning,male,cosmology
Alan Bradford,junior-faculty,OECD,first_time,male,cosmology
Travis Cabler,student,OECD,first_time,male,exoplanets
Christopher Elliott,junior-faculty,OECD,returning,male,cosmology
Paula Christ,junior-faculty,non-OECD,returning,female,cosmology
Sally Carney,junior-faculty,OECD,first_time,female,cosmology
William Kuhlman,junior-faculty,OECD,first_time,male,cosmology
Thomas Marciano,student,OECD,returning,male,astrophysics
Earnest Franke,senior-faculty,OECD,returning,male,cosmology
Edna Newman,senior-faculty,OECD,returning,female,cosmology
Adrian Davis,senior-faculty,OECD,first_time,male,exoplanets
Margaret Thompson,junior-faculty,OECD,first_time,other,astrophysics
Marion Bell,junior-faculty,OECD,first_time,male,cosmology
Laurie Lavell,junior-faculty,OECD,first_time,female,cosmology
