applicant_name,career_stage,country,first_time,gender,subfield
Gerard Ransom,junior-faculty,non-OECD,returning,male,astrophysics
John Withrow,student,non-OECD,first_time,male,
Michael Westcott,student,OECD,first_time,male,exoplanets
Christopher Hale,senior-faculty,OECD,first_time,male,exoplanets
Minnie Rotz,senior-faculty,non-OECD,returning,female,
Lucia Daniels,student,non-OECD,returning,female,exoplanets
Evelyn Snoddy,junior-faculty,OECD,first_time,female,exoplanets
Aaron Xiong,junior-faculty,non-OECD,first_time,male,solar
John English,junior-faculty,non-OECD,returning,male,exoplanets
Leonard Paxton,senior-faculty,non-OECD,first_time,male,cosmology
Pauline Cox,junior-faculty,non-OECD,first_time,female,exoplanets
Ralph Keith,senior-faculty,OECD,returning,male,exoplanets
Lillie Henry,student,non-OECD,first_time,female,
Daniel Inman,senior-faculty,OECD,returning,male,solar
Emily Murphy,senior-faculty,non-OECD,returning,female,exoplanets
Kenneth Warf,senior-faculty,OECD,first_time,male,solar
Robert Parsons,junior-faculty,non-OECD,returning,male,astrophysics
Ernestine Edwards,junior-faculty,OECD,returning,female,cosmology
Shanna Smith,senior-faculty,OECD,first_time,female,astrophysics
Violet Mueller,student,non-OECD,returning,female,solar
Jessie Clark,senior-faculty,OECD,first_time,male,solar
Akilah Mancuso,junior-faculty,non-OECD,returning,female,cosmology
Iris Wood,senior-faculty,OECD,first_time,female,solar
Thomas Haaf,junior-faculty,non-OECD,first_time,male,exoplanets
Lauren Lynch,senior-faculty,OECD,returning,female,cosmology
Shawn Hudson,senior-faculty,OECD,returning,male,astrophysics
Melissa Montello,senior-faculty,non-OECD,returning,female,astrophysics
Luanne Fisher,junior-faculty,OECD,first_time,female,exoplanets
Theodore Conner,junior-faculty,non-OECD,returning,male,cosmology
Martha Engle,senior-faculty,OECD,first_time,female,solar
Dana Meir,senior-faculty,OECD,returning,female,exoplanets
Tiffany Robertson,junior-faculty,non-OECD,returning,female,exoplanets
Wonda Brown,senior-faculty,OECD,first_time,other,cosmology
Lupe Perez,junior-faculty,OECD,first_time,female,cosmology
Mary Ferguson,senior-faculty,OECD,returning,female,solar
Megan Luckner,junior-faculty,OECD,first_time,female,astrophysics
Miriam Madden,junior-faculty,OECD,returning,female,exoplanets
Louise Fucci,student,non-OECD,returning,female,exoplanets
Stephen Bledsoe,senior-faculty,non-OECD,first_time,male,cosmology
Lawrence Pence,student,OECD,returning,male,solar
Catherine Smith,junior-faculty,OECD,first_time,female,cosmology
Napoleon Marlow,senior-faculty,non-OECD,returning,male,cosmology
Dorothy Bailey,senior-faculty,OECD,returning,female,exoplanets
Caitlyn Smith,student,non-OECD,first_time,female,astrophysics
Linda Woode,student,non-OECD,first_time,female,cosmology
Robert Tolin,junior-faculty,OECD,first_time,male,astrophysics
William Anderson,junior-faculty,non-OECD,returning,male,solar
Steve Clark,junior-faculty,OECD,first_time,male,exoplanets
Venita Keller,student,non-OECD,first_time,female,astrophysics
Miguel Labine,student,non-OECD,returning,male,exoplanets
Michael Hyatt,senior-faculty,non-OECD,first_time,male,astrophysics
Ryan Jones,senior-faculty,non-OECD,returning,male,solar
Jose Ochoa,senior-faculty,OECD,returning,male,solar
Karen Wickham,junior-faculty,non-OECD,returning,female,exoplanets
Willard Clardy,student,non-OECD,returning,male,cosmology
Randy Hennig,junior-faculty,OECD,returning,male,exoplanets
Mark Patrick,student,non-OECD,returning,male,cosmology
Gertrude Ardito,senior-faculty,non-OECD,returning,female,solar
Ann Blount,student,non-OECD,first_time,female,astrophysics
Angela Lester,senior-faculty,non-OECD,first_time,female,exoplanets
Jason Hunsaker,junior-faculty,OECD,first_time,male,solar
Dorothy Kozyra,junior-faculty,OECD,returning,female,exoplanets
Vanessa Walat,senior-faculty,non-OECD,first_time,female,exoplanets
William Sanders,senior-faculty,OECD,returning,male,exoplanets
Kenyatta Kohler,student,non-OECD,first_time,female,astrophysics
Kristin Otero,senior-faculty,OECD,returning,female,astrophysics
Bobby Owens,senior-faculty,non-OECD,returning,male,astrophysics
Paul Alcantara,student,OECD,first_time,male,exoplanets
Patricia Jacobs,junior-faculty,OECD,first_time,female,cosmology
Marylou Welsh,junior-faculty,OECD,returning,female,solar
John Beach,senior-faculty,non-OECD,first_time,male,astrophysics
Hal Wacker,senior-faculty,OECD,returning,male,cosmology
Deloras Garcia,student,OECD,returning,female,cosmology
Sadie Rodrigez,junior-faculty,OECD,first_time,female,cosmology
Armando Noble,student,OECD,returning,male,exoplanets
Katherine Millspaugh,student,OECD,first_time,female,solar
John Yee,junior-faculty,non-OECD,first_time,male,exoplanets
Rebecca Lees,junior-faculty,OECD,first_time,female,solar
Susan Brown,student,non-OECD,returning,female,exoplanets
Juan Crouch,senior-faculty,OECD,returning,,astrophysics
Robert Salling,student,non-OECD,first_time,male,solar
David Lee,student,non-OECD,returning,male,astrophysics
Joan Erickson,senior-faculty,OECD,first_time,female,solar
Billy Ortiz,senior-faculty,non-OECD,first_time,male,
Nicholas Lapoint,junior-faculty,non-OECD,first_time,male,solar
Kay Jones,junior-faculty,non-OECD,first_time,female,cosmology
Janice Wise,senior-faculty,OECD,returning,female,solar
John Thomas,senior-faculty,non-OECD,first_time,male,solar
Larry Capps,junior-faculty,OECD,first_time,male,solar
Daniel Shaffer,senior-faculty,OECD,first_time,male,cosmology
Rebecca Townsend,student,non-OECD,first_time,female,exoplanets
Jorge Dunn,senior-faculty,OECD,first_time,male,astrophysics
David Jefferies,junior-faculty,non-OECD,returning,male,solar
Roger Teal,senior-faculty,OECD,first_time,male,cosmology
Lillian Benberry,junior-faculty,OECD,first_time,female,astrophysics
Dustin Whisenand,junior-faculty,OECD,returning,male,exoplanets
Theresa Sanders,student,non-OECD,first_time,female,astrophysics
Elizabeth Aita,junior-faculty,OECD,first_time,female,solar
Karen Santucci,student,non-OECD,returning,female,exoplanets
Thomas Alfaro,student,OECD,returning,male,exoplanets
