applicant_name,career_stage,country,first_time,gender,subfield
Bryon Ritacco,senior-faculty,non-OECD,returning,male,cosmology
Denise Twigg,senior-faculty,non-OECD,first_time,female,cosmology
Paul Ruckman,student,OECD,first_time,male,cosmology
Anthony Staton,junior-faculty,non-OECD,returning,other,cosmology
Russel Johnson,junior-faculty,non-OECD,returning,male,astrophysics
Homer Tiburcio,student,non-OECD,returning,male,cosmology
Carlos King,junior-faculty,OECD,first_time,male,cosmology
Thomas Mckeehan,senior-faculty,OECD,returning,male,cosmology
Charles Arsenault,student,non-OECD,returning,male,cosmology
Melvin Rainey,student,non-OECD,first_time,male,
Guadalupe Dumas,senior-faculty,OECD,first_time,male,astrophysics
William Harrison,student,non-OECD,first_time,male,astrophysics
William Gray,senior-faculty,non-OECD,first_time,male,cosmology
Sandra Roberts,junior-faculty,OECD,first_time,female,astrophysics
Dominick London,student,OECD,first_time,male,cosmology
Velma Cullen,junior-faculty,,returning,female,astrophysics
Susan Sconiers,junior-faculty,non-OECD,first_time,female,cosmology
Calvin Miller,student,OECD,first_time,male,astrophysics
Timothy Boucher,senior-faculty,OECD,returning,male,exoplanets
Frederick Dennis,senior-faculty,OECD,first_time,male,cosmology
Roger Moulton,senior-faculty,OECD,first_time,male,cosmology
Jerry Parker,student,OECD,returning,male,cosmology
Joel Morgan,junior-faculty,OECD,first_time,male,solar
Jason Rosado,junior-faculty,non-OECD,returning,male,exoplanets
Ernest Linscott,student,OECD,first_time,male,cosmology
Harry Pino,senior-faculty,OECD,first_time,male,solar
Jeanette Wright,junior-faculty,non-OECD,first_time,female,solar
Francis Brown,junior-faculty,OECD,returning,male,cosmology
Frank Dugger,student,OECD,returning,male,cosmology
Joe Moffatt,junior-faculty,non-OECD,returning,male,
Chris Stokes,junior-faculty,OECD,first_time,male,astrophysics
Barbara Dellano,student,non-OECD,returning,female,cosmology
Kristin Mcclimon,junior-faculty,OECD,first_time,female,solar
Victor Randall,junior-faculty,OECD,returning,male,exoplanets
David Tedder,student,OECD,first_time,male,cosmology
John Sanders,junior-faculty,non-OECD,first_time,male,cosmology
Jerry Norsworthy,junior-faculty,OECD,first_time,male,cosmology
Louis Casella,senior-faculty,non-OECD,returning,male,cosmology
Michael Zirkle,student,OECD,returning,male,astrophysics
Michael Hinkle,junior-faculty,OECD,first_time,male,cosmology
Graciela Tirk,student,OECD,returning,female,cosmology
Elena Norris,junior-faculty,OECD,first_time,other,exoplanets
Jeremy Arnold,junior-faculty,OECD,first_time,male,cosmology
Ronald Pittman,student,non-OECD,returning,male,cosmology
John Patterson,junior-faculty,non-OECD,first_time,male,cosmology
Maria Reid,junior-faculty,non-OECD,first_time,female,exoplanets
Jeremy Poole,senior-faculty,non-OECD,returning,male,cosmology
Beth Roberts,student,non-OECD,first_time,female,cosmology
Anthony Simpson,junior-faculty,non-OECD,returning,male,cosmology
Mark Weisser,junior-faculty,OECD,returning,male,astrophysics
