career_stage,country,first_time,gender,name,subfield
junior-faculty,OECD,first_time,male,Joseph Barrett,cosmology
senior-faculty,non-OECD,returning,female,Helen Zingaro,astrophysics
grad-student,non-OECD,first_time,male,Kenneth Brittingham,exoplanets
grad-student,OECD,first_time,female,Andrea Taylor,solar
junior-faculty,OECD,returning,male,Stanton Knoll,astrophysics
grad-student,OECD,returning,female,Gina Lorenzana,astrophysics
senior-faculty,non-OECD,first_time,male,Will Cullinane,cosmology
grad-student,non-OECD,returning,male,Nathaniel Morgan,astrophysics
junior-faculty,non-OECD,returning,male,Preston Danker,astrophysics
junior-faculty,non-OECD,first_time,male,Marion Mcconnell,cosmology
senior-faculty,non-OECD,first_time,female,Gwendolyn Williams,cosmology
senior-faculty,OECD,first_time,male,Palmer Sanders,cosmology
junior-faculty,non-OECD,returning,male,Adam Penrod,solar
senior-faculty,non-OECD,returning,male,Thomas Madeira,astrophysics
grad-student,OECD,,male,Emerson Wisdom,cosmology
junior-faculty,non-OECD,returning,male,Anthony Hidalgo,astrophysics
senior-faculty,OECD,returning,male,Eddie Caron,astrophysics
junior-faculty,OECD,returning,male,Jason Jackson,exoplanets
grad-student,OECD,returning,male,Arthur Prater,exoplanets
grad-student,non-OECD,first_time,male,Michael Perry,cosmology
junior-faculty,OECD,returning,male,Joseph Corbitt,solar
senior-faculty,OECD,first_time,male,Evan Brown,astrophysics
grad-student,non-OECD,returning,male,Larry Gamez,cosmology
senior-faculty,non-OECD,returning,male,Steven Moore,solar
junior-faculty,OECD,first_time,male,Matthew Powell,cosmology
junior-faculty,OECD,returning,female,Charlotte Brown,exoplanets
grad-student,non-OECD,first_time,male,Eric Delgado,cosmology
grad-student,OECD,first_time,male,Joseph Parks,
grad-student,OECD,returning,male,Kenny Leef,cosmology
senior-faculty,non-OECD,returning,male,Max Blackshear,cosmology
senior-faculty,non-OECD,returning,male,Micheal Wells,exoplanets
junior-faculty,non-OECD,returning,male,Bruce Funk,astrophysics
junior-faculty,OECD,first_time,male,William Kim,exoplanets
senior-faculty,OECD,first_time,male,Frederick Hopkins,exoplanets
junior-faculty,OECD,first_time,female,Carrie Zamora,astrophysics
grad-student,non-OECD,first_time,male,Ricardo Luke,astrophysics
grad-student,non-OECD,first_time,male,David Hearn,astrophysics
junior-faculty,OECD,first_time,male,Edwin Patterson,cosmology
grad-student,non-OECD,returning,female,Latonya Mishar,solar
senior-faculty,OECD,returning,male,Ismael Oliver,exoplanets
senior-faculty,OECD,first_time,male,Lewis Crouch,cosmology
senior-faculty,OECD,first_time,male,Stacy Stoehr,astrophysics
grad-student,OECD,returning,male,Mike Sudbeck,cosmology
grad-student,OECD,returning,male,John Fuller,solar
junior-faculty,non-OECD,returning,male,Larry Purcell,cosmology
grad-student,non-OECD,first_time,female,Jamie Mcvey,solar
senior-faculty,OECD,returning,female,Deborah Thomas,exoplanets
senior-faculty,OECD,returning,male,Joseph Miley,exoplanets
senior-faculty,non-OECD,first_time,male,Matthew Gillard,exoplanets
grad-student,OECD,first_time,male,Phillip Remley,solar
junior-faculty,OECD,first_time,other,James Adams,exoplanets
junior-faculty,non-OECD,returning,female,Dawn Williams,astrophysics
grad-student,OECD,first_time,male,Harold Martinez,cosmology
senior-faculty,OECD,first_time,male,Clyde Mcalister,astrophysics
senior-faculty,non-OECD,first_time,male,Frank Moore,cosmology
grad-student,OECD,returning,female,Kelly Hinson,cosmology
senior-faculty,non-OECD,returning,male,Tyrone Randles,solar
junior-faculty,OECD,returning,female,Sarah Spicer,exoplanets
senior-faculty,non-OECD,returning,male,Carlos Martin,solar
senior-faculty,non-OECD,first_time,male,Otis Terry,solar
