applicant_name,career_stage,country,first_time,gender,subfield
Jack Moss,junior-faculty,OECD,returning,male,cosmology
Julius Zulauf,senior-faculty,OECD,returning,male,exoplanets
Stacey Green,senior-faculty,OECD,returning,female,exoplanets
Matthew Simpson,student,OECD,returning,male,cosmology
David Barnes,senior-faculty,OECD,returning,male,cosmology
Herman Ledbetter,junior-faculty,OECD,returning,male,cosmology
Sandra Gibson,junior-faculty,non-OECD,returning,female,cosmology
Charles Ross,junior-faculty,OECD,first_time,male,astrophysics
Nancy Benn,senior-faculty,OECD,returning,female,cosmology
Randy Pineda,senior-faculty,OECD,returning,other,cosmology
Michael Hendrix,senior-faculty,OECD,returning,male,cosmology
Roosevelt White,junior-faculty,OECD,first_time,male,cosmology
Kenneth Ellis,junior-faculty,OECD,first_time,male,cosmology
Larry Smith,junior-faculty,OECD,returning,male,cosmology
Michael Gonzalez,senior-faculty,OECD,returning,male,exoplanets
Jill Martin,junior-faculty,OECD,returning,,cosmology
Edward Moody,student,OECD,returning,male,astrophysics
Donald Wilson,senior-faculty,OECD,returning,male,astrophysics
Michael Mccoy,junior-faculty,OECD,first_time,male,solar
Dylan Lorenzo,junior-faculty,OECD,first_time,male,solar
Tyrone Bryant,senior-faculty,OECD,returning,male,cosmology
Michael Park,senior-faculty,OECD,returning,male,cosmology
Robert Avila,junior-faculty,OECD,returning,male,cosmology
Betty Snyder,senior-faculty,OECD,returning,female,cosmology
Robert Martinez,junior-faculty,OECD,returning,male,exoplanets
Joseph Marro,junior-faculty,OECD,first_time,male,cosmology
Chelsea Huson,senior-faculty,OECD,first_time,female,astrophysics
Seth Bowers,junior-faculty,OECD,returning,male,cosmology
Antonio Sanborn,senior-faculty,OECD,returning,male,astrophysics
Kelly Bowling,junior-faculty,OECD,returning,female,astrophysics
Tracy Surratt,junior-faculty,OECD,returning,female,solar
Kevin Darrin,junior-faculty,OECD,returning,male,cosmology
Peter Linton,junior-faculty,OECD,returning,male,cosmology
Chris Snyder,junior-faculty,OECD,returning,male,astrophysics
Florencio Dahl,junior-faculty,OECD,first_time,male,cosmology
Hollis Ballentine,junior-faculty,OECD,first_time,male,solar
James Elkins,senior-faculty,OECD,first_time,male,cosmology
Bryan Ferguson,junior-faculty,OECD,first_time,male,cosmology
Roseann Hinkle,junior-faculty,OECD,returning,female,cosmology
Stanley Ricketts,junior-faculty,OECD,returning,male,cosmology
Thomas Stiles,senior-faculty,non-OECD,returning,male,cosmology
Joey Johnson,senior-faculty,OECD,returning,male,cosmology
Stephanie Nicholson,senior-faculty,OECD,returning,female,exoplanets
Ryan Chauncey,junior-faculty,OECD,returning,male,cosmology
Bruce Heaney,senior-faculty,OECD,first_time,male,cosmology
Thomas Harris,junior-faculty,non-OECD,returning,male,exoplanets
Herman Avila,senior-faculty,OECD,first_time,male,cosmology
Edward Diaz,senior-faculty,OECD,returning,male,cosmology
Fred Pully,senior-faculty,OECD,returning,male,cosmology
Ronald Wiederhold,junior-faculty,OECD,returning,male,cosmology
Jeffrey Rowland,senior-faculty,OECD,first_time,other,cosmology
Octavio Smith,junior-faculty,OECD,returning,male,solar
Gerald Mcadams,senior-faculty,OECD,first_time,male,cosmology
Thomas Howard,junior-faculty,OECD,first_time,male,cosmology
Mary Lovell,junior-faculty,OECD,first_time,female,cosmology
Edmund Anderson,student,OECD,first_time,male,cosmology
Elisabeth Wyke,senior-faculty,OECD,returning,female,cosmology
Mark Bell,junior-faculty,OECD,returning,male,exoplanets
Lydia Williams,junior-faculty,OECD,returning,female,cosmology
Charles Bell,junior-faculty,OECD,returning,male,cosmology
Gary Gibson,junior-faculty,OECD,first_time,male,exoplanets
Michael Johnson,senior-faculty,OECD,returning,male,cosmology
David Fuller,junior-faculty,OECD,returning,male,cosmology
Orlando Ledford,junior-faculty,OECD,returning,male,cosmology
John Wallace,senior-faculty,OECD,first_time,male,exoplanets
Evan Fisher,senior-faculty,OECD,first_time,male,astrophysics
Adam Gillette,senior-faculty,OECD,returning,male,cosmology
Melanie Kennedy,junior-faculty,OECD,returning,female,astrophysics
Timothy Hatcher,junior-faculty,OECD,returning,male,cosmology
Terry Graham,junior-faculty,OECD,first_time,male,solar
Nathan Handley,junior-faculty,OECD,returning,male,cosmology
Patricia Smith,junior-faculty,OECD,returning,female,exoplanets
Andria Mchenry,junior-faculty,OECD,first_time,female,cosmology
Ralph Standre,student,OECD,returning,male,astrophysics
Jonathan Mchugh,student,OECD,returning,male,cosmology
Cynthia Jeske,student,OECD,returning,female,cosmology
Lisa Schmid,senior-faculty,OECD,first_time,female,cosmology
Gregory Kelley,student,OECD,first_time,male,cosmology
Maurice Rodgers,junior-faculty,OECD,first_time,male,exoplanets
Danial Yarbrough,junior-faculty,non-OECD,first_time,male,solar
Meredith Gibson,junior-faculty,OECD,returning,female,cosmology
James Mckeller,student,OECD,returning,male,cosmology
Sharon Williamson,,non-OECD,returning,female,cosmology
Austin Lopez,senior-faculty,OECD,first_time,male,cosmology
Stephen Swanson,student,OECD,returning,male,astrophysics
Donald Short,junior-faculty,OECD,returning,male,solar
John Carter,junior-faculty,OECD,first_time,male,cosmology
Jane Lund,junior-faculty,OECD,returning,female,astrophysics
Sandra Cruz,junior-faculty,OECD,returning,female,cosmology
Craig Hauck,junior-faculty,OECD,returning,male,exoplanets
James Gallardo,junior-faculty,OECD,returning,male,cosmology
Paul Winston,junior-faculty,OECD,returning,male,astrophysics
Robert Erskine,senior-faculty,OECD,returning,male,cosmology
James Hall,junior-faculty,OECD,returning,male,astrophysics
Stephen Acosta,student,OECD,returning,male,cosmology
Andrew Harvard,junior-faculty,OECD,first_time,,cosmology
Julian Evans,junior-faculty,,first_time,male,cosmology
John Edwards,junior-faculty,OECD,returning,male,astrophysics
Charles Franco,senior-faculty,OECD,first_time,male,cosmology
James Lewis,junior-faculty,OECD,returning,male,cosmology
Rupert Miller,junior-faculty,OECD,first_time,male,cosmology
John Blakely,junior-faculty,,returning,male,cosmology
Robert Vargas,senior-faculty,OECD,returning,male,cosmology
David Bourgeois,junior-faculty,OECD,first_time,male,cosmology
Gregg Duran,junior-faculty,OECD,returning,male,exoplanets
Robert Schroer,senior-faculty,OECD,returning,male,solar
Bruce Leigh,senior-faculty,OECD,first_time,male,cosmology
Lisa Staley,junior-faculty,OECD,first_time,female,cosmology
Benny Andrews,student,OECD,returning,male,exoplanets
Paul Deason,junior-faculty,OECD,first_time,male,cosmology
Amy Gomez,junior-faculty,OECD,returning,female,cosmology
Shawn Mentz,junior-faculty,OECD,returning,male,cosmology
William Ely,senior-faculty,OECD,returning,male,cosmology
Jim Bell,junior-faculty,OECD,first_time,male,cosmology
Catherine Brucculeri,junior-faculty,OECD,first_time,female,exoplanets
Steve Wagner,junior-faculty,OECD,returning,male,astrophysics
William Baird,junior-faculty,OECD,returning,male,astrophysics
Michael Williams,junior-faculty,OECD,returning,male,cosmology
Gertrud Hill,junior-faculty,OECD,first_time,other,cosmology
Francisco Gillis,senior-faculty,OECD,first_time,male,exoplanets
James Sickles,senior-faculty,OECD,first_time,male,cosmology
Gregory Goodwin,junior-faculty,OECD,returning,male,astrophysics
Dennis Nelson,junior-faculty,OECD,returning,male,exoplanets
Patricia Laughlin,junior-faculty,non-OECD,returning,other,cosmology
Jay Knight,junior-faculty,OECD,first_time,male,cosmology
Walter Griffith,senior-faculty,non-OECD,returning,male,astrophysics
Jeri Smith,junior-faculty,OECD,returning,female,cosmology
Sandra Hicks,junior-faculty,non-OECD,returning,female,solar
Ernest Ramsey,senior-faculty,OECD,returning,male,cosmology
Mark Rhoades,junior-faculty,OECD,first_time,male,cosmology
Derrick Tenaglia,junior-faculty,non-OECD,first_time,male,exoplanets
