career_stage,country,first_time,gender,name,subfield
senior-faculty,OECD,first_time,male,Aaron Phillips,exoplanets
junior-faculty,non-OECD,returning,female,Jessie Medina,cosmology
grad-student,OECD,returning,male,Nathan Lee,exoplanets
grad-student,OECD,first_time,male,Paul Davis,exoplanets
senior-faculty,non-OECD,returning,female,Della Schaefer,solar
senior-faculty,non-OECD,returning,male,Robert Bowen,astrophysics
junior-faculty,non-OECD,first_time,male,Peter Bosch,astrophysics
senior-faculty,OECD,first_time,male,Wade Pond,solar
senior-faculty,OECD,returning,female,Alberta Talley,
junior-faculty,OECD,returning,male,James Carlton,exoplanets
senior-faculty,OECD,first_time,female,Helen Taylor,cosmology
junior-faculty,OECD,first_time,female,Leola Nuuanu,astrophysics
junior-faculty,non-OECD,first_time,female,Julie Collins,solar
senior-faculty,non-OECD,returning,male,Samuel Dudas,cosmology
junior-faculty,non-OECD,returning,male,Bobby Golojuch,exoplanets
junior-faculty,OECD,first_time,female,Kerri Bays,cosmology
senior-faculty,OECD,returning,female,Maribel Johnson,exoplanets
grad-student,OECD,returning,male,Arthur Butler,cosmology
junior-faculty,OECD,first_time,male,Charles Hayes,solar
grad-student,OECD,returning,male,Ryan Williams,cosmology
grad-student,OECD,first_time,female,Emerita Jones,cosmology
grad-student,OECD,returning,male,Edmund Walton,astrophysics
junior-faculty,OECD,first_time,female,Patricia Rodriquez,astrophysics
senior-faculty,OECD,returning,male,Jarrett Brown,astrophysics
grad-student,OECD,returning,female,Katie Hinton,exoplanets
senior-faculty,OECD,returning,female,Beth Butler,exoplanets
grad-student,OECD,returning,female,Wendy Lawson,cosmology
senior-faculty,OECD,first_time,female,Susan Acencio,solar
junior-faculty,OECD,,female,Lee Zuniga,cosmology
grad-student,OECD,first_time,,Amanda Bates,exoplanets
grad-student,OECD,first_time,female,Tamra Meyer,solar
junior-faculty,OECD,first_time,female,Debra Wyland,cosmology
grad-student,non-OECD,first_time,male,William Brooks,cosmology
grad-student,OECD,returning,female,Shannon Walker,cosmology
grad-student,OECD,first_time,female,Beth Charlton,astrophysics
junior-faculty,OECD,first_time,male,Bob Cheek,cosmology
senior-faculty,OECD,returning,female,Monica Caruso,solar
junior-faculty,OECD,first_time,male,Paul Mullen,solar
senior-faculty,OECD,returning,male,Leonard Montano,astrophysics
senior-faculty,OECD,returning,female,Maria Amie,cosmology
junior-faculty,OECD,returning,female,Alma Fritter,astrophysics
grad-student,OECD,first_time,male,Michael Wilford,cosmology
senior-faculty,OECD,first_time,female,Julia Gates,cosmology
senior-faculty,OECD,first_time,female,Lydia Lambert,cosmology
junior-faculty,OECD,returning,female,Patricia Bequette,solar
junior-faculty,OECD,returning,female,Maudie Hamlin,solar
junior-faculty,OECD,first_time,female,Gertrude Almond,astrophysics
junior-faculty,OECD,returning,male,Robert Yost,cosmology
grad-student,OECD,first_time,female,Loretta Olson,exoplanets
junior-faculty,,returning,male,Joshua Reinhardt,astrophysics
senior-faculty,OECD,returning,male,Leslie Bott,exoplanets
junior-faculty,OECD,first_time,female,Pamela Cox,solar
junior-faculty,OECD,first_time,female,Amy Davis,astrophysics
,OECD,first_time,female,Irene Alvarado,solar
grad-student,OECD,returning,female,Rita Cuevas,cosmology
grad-student,OECD,first_time,male,Alexander Willingham,cosmology
senior-faculty,OECD,first_time,female,Evelyn Johnson,cosmology
grad-student,non-OECD,returning,female,Imogene Smith,exoplanets
grad-student,OECD,returning,female,Sharon Killian,cosmology
senior-faculty,OECD,first_time,male,Lee Klemm,exoplanets
senior-faculty,OECD,first_time,female,Frances Miyasato,cosmology
senior-faculty,OECD,returning,female,Beulah Moroni,solar
grad-student,OECD,first_time,male,Alfred Capone,astrophysics
junior-faculty,OECD,,male,Rodolfo Richards,exoplanets
junior-faculty,OECD,first_time,female,Catherine Shackelford,cosmology
junior-faculty,OECD,first_time,male,David Hays,astrophysics
grad-student,OECD,first_time,male,Charles Mentzer,astrophysics
senior-faculty,OECD,first_time,female,Rose Rushing,cosmology
junior-faculty,OECD,returning,,Eugenie Lilly,exoplanets
junior-faculty,non-OECD,returning,female,Donna Gonzales,solar
grad-student,OECD,first_time,female,Danielle Kazarian,
junior-faculty,OECD,first_time,female,Christina Jack,astrophysics
grad-student,OECD,returning,female,Amber Wilson,astrophysics
senior-faculty,non-OECD,first_time,male,Adam Walston,solar
senior-faculty,OECD,first_time,female,Hee Liv,cosmology
senior-faculty,OECD,returning,female,Lorine Turner,exoplanets
grad-student,OECD,returning,female,Amanda Fleming,cosmology
