career_stage,country,first_time,gender,name,subfield
junior-faculty,non-OECD,first_time,male,Michael Moser,solar
senior-faculty,OECD,,female,Rosemarie Markel,cosmology
senior-faculty,OECD,returning,female,Kimberly Simpon,cosmology
senior-faculty,non-OECD,returning,male,Kevin Voyer,exoplanets
grad-student,OECD,returning,male,Jose Givens,exoplanets
grad-student,OECD,returning,female,Edna Lawrence,solar
senior-faculty,non-OECD,returning,male,John Stevens,exoplanets
grad-student,OECD,first_time,female,Misty Grubbs,cosmology
junior-faculty,OECD,returning,male,Mark Macklin,solar
junior-faculty,non-OECD,returning,male,Joshua Corwin,cosmology
grad-student,OECD,returning,male,Robert Meyer,exoplanets
junior-faculty,non-OECD,returning,male,Oscar Bean,astrophysics
senior-faculty,OECD,first_time,male,James Mcclellan,exoplanets
senior-faculty,non-OECD,first_time,male,Leo Martin,cosmology
junior-faculty,non-OECD,first_time,male,Juan Moore,solar
senior-faculty,non-OECD,first_time,male,Douglas Zambrano,cosmology
junior-faculty,OECD,first_time,male,Nathan Hinkle,exoplanets
grad-student,non-OECD,returning,male,Christopher Paton,cosmology
senior-faculty,OECD,returning,male,Robert Mcdonald,cosmology
senior-faculty,OECD,returning,male,Alex Lack,exoplanets
senior-faculty,OECD,returning,male,Anthony Alder,exoplanets
junior-faculty,non-OECD,returning,male,John Landry,solar
senior-faculty,non-OECD,first_time,male,William Puulei,cosmology
grad-student,non-OECD,first_time,male,Bernard Cardin,cosmology
senior-faculty,OECD,returning,male,Robert Cameron,solar
senior-faculty,non-OECD,first_time,male,Gregory Helms,exoplanets
junior-faculty,OECD,first_time,male,Thomas Fitzpatrick,astrophysics
junior-faculty,non-OECD,first_time,male,Alfred Gibson,cosmology
junior-faculty,OECD,returning,male,Jason Machado,solar
junior-faculty,OECD,first_time,male,David Irvin,cosmology
grad-student,non-OECD,returning,male,Jerry Saleha,cosmology
senior-faculty,OECD,returning,male,William Plato,cosmology
junior-faculty,OECD,returning,female,Lori Hill,cosmology
grad-student,OECD,returning,male,Steven Doty,exoplanets
grad-student,non-OECD,returning,male,Ryan Thompson,cosmology
senior-faculty,OECD,first_time,male,Richard Simpson,solar
junior-faculty,non-OECD,returning,female,Sheryl Gould,cosmology
senior-faculty,non-OECD,returning,female,Kelley Spier,
grad-student,non-OECD,first_time,male,Allan Mcintosh,cosmology
junior-faculty,non-OECD,first_time,other,Richard Jemison,solar
junior-faculty,OECD,returning,male,John Bowie,exoplanets
senior-faculty,non-OECD,first_time,female,Crystal Johnson,astrophysics
junior-faculty,OECD,returning,male,Matthew Morris,solar
junior-faculty,non-OECD,returning,male,John Collins,solar
senior-faculty,OECD,returning,male,Vincenzo Valdez,cosmology
senior-faculty,non-OECD,first_time,male,Christopher Sheehan,cosmology
grad-student,non-OECD,first_time,male,Tyler Quintana,astrophysics
senior-faculty,OECD,first_time,female,Albertine Hall,solar
grad-student,non-OECD,returning,male,Erick Fisher,cosmology
junior-faculty,non-OECD,returning,male,Joe Clare,exoplanets
junior-faculty,non-OECD,returning,male,Marvin Elrod,exoplanets
grad-student,OECD,first_time,female,Dorothy Wilson,cosmology
grad-student,OECD,first_time,male,Thomas Zavala,exoplanets
grad-student,OECD,returning,male,Thomas Mcgowan,astrophysics
junior-faculty,non-OECD,first_time,male,Nicholas Bunch,cosmology
senior-faculty,non-OECD,returning,male,Ronnie Pero,astrophysics
grad-student,non-OECD,returning,,Amber White,cosmology
grad-student,non-OECD,first_time,male,Richard Mcclure,solar
senior-faculty,OECD,first_time,female,Irene Scott,cosmology
junior-faculty,OECD,returning,male,Mark Frey,cosmology
grad-student,OECD,first_time,male,Dennis Rajan,solar
senior-faculty,non-OECD,returning,male,Tommy Day,astrophysics
junior-faculty,OECD,returning,male,Ian Franks,cosmology
grad-student,non-OECD,first_time,female,Maryann Tamulis,solar
senior-faculty,non-OECD,first_time,male,Roland Stubbs,solar
grad-student,non-OECD,returning,male,Milton Authement,cosmology
senior-faculty,OECD,first_time,male,George Reiser,exoplanets
grad-student,non-OECD,returning,male,Stephen Stelzer,cosmology
grad-student,non-OECD,returning,male,Joseph Fowles,
grad-student,non-OECD,returning,male,Michael Forster,solar
junior-faculty,OECD,returning,male,Rudolf Phagan,exoplanets
grad-student,non-OECD,first_time,female,Julie Bauer,astrophysics
junior-faculty,OECD,returning,male,Perry Leroy,astrophysics
junior-faculty,non-OECD,first_time,male,Robert Ward,exoplanets
junior-faculty,OECD,returning,male,William Papineau,solar
grad-student,non-OECD,first_time,male,David Nettles,exoplanets
junior-faculty,non-OECD,first_time,male,Anthony Lande,cosmology
junior-faculty,non-OECD,returning,female,Lila White,solar
junior-faculty,OECD,returning,male,William Oney,cosmology
grad-student,non-OECD,first_time,male,John Kaczorowski,cosmology
senior-faculty,non-OECD,first_time,male,Damon Burns,cosmology
grad-student,OECD,first_time,male,Michael Reynolds,exoplanets
senior-faculty,OECD,returning,male,Lorenzo Cline,solar
junior-faculty,OECD,returning,male,Chung Moffatt,solar
junior-faculty,OECD,first_time,male,Gary Adkins,cosmology
junior-faculty,OECD,first_time,male,Alexander Hensley,solar
junior-faculty,OECD,first_time,male,Norbert Pedersen,cosmology
senior-faculty,OECD,returning,male,Desmond Khan,cosmology
junior-faculty,non-OECD,returning,female,Mary Johnson,astrophysics
junior-faculty,OECD,first_time,male,Joseph Sorenson,astrophysics
junior-faculty,non-OECD,first_time,male,Charles Dodson,exoplanets
senior-faculty,non-OECD,returning,male,Andrew Lewis,exoplanets
senior-faculty,non-OECD,returning,male,Andrew Trevino,cosmology
grad-student,OECD,first_time,male,Anthony Haught,cosmology
senior-faculty,OECD,returning,male,Zachary Tarrant,solar
grad-student,non-OECD,returning,male,Glenn Plott,solar
junior-faculty,non-OECD,returning,male,Jesse Sutherland,astrophysics
senior-faculty,,returning,male,Ronald Arceneaux,exoplanets
senior-faculty,non-OECD,first_time,male,Donald Marquez,solar
grad-student,non-OECD,returning,male,Daniel Cataldo,exoplanets
,non-OECD,first_time,male,Cody Havens,astrophysics
grad-student,OECD,first_time,male,Jonathan Rowland,exoplanets
junior-faculty,OECD,first_time,male,Scott Adams,exoplanets
grad-student,non-OECD,returning,male,Anthony Cloutier,astrophysics
senior-faculty,OECD,returning,male,Jeffery Martin,astrophysics
senior-faculty,non-OECD,first_time,male,Richard Kort,exoplanets
senior-faculty,OECD,returning,male,William Taylor,cosmology
grad-student,OECD,returning,female,Valerie Parker,cosmology
grad-student,OECD,first_time,female,Diane Alvarez,astrophysics
senior-faculty,non-OECD,first_time,female,Leona Ralph,solar
junior-faculty,OECD,first_time,male,Charles Richardson,cosmology
senior-faculty,non-OECD,returning,male,Terry Heath,exoplanets
grad-student,non-OECD,returning,other,Melvin Corriveau,astrophysics
junior-faculty,OECD,first_time,male,Daniel Routhier,cosmology
senior-faculty,non-OECD,first_time,male,David Vega,solar
senior-faculty,OECD,returning,male,Ivan Kratochvil,exoplanets
grad-student,non-OECD,returning,male,Steve Michaux,exoplanets
junior-faculty,OECD,returning,male,Alexander Noffsinger,exoplanets
junior-faculty,non-OECD,returning,male,Humberto Grant,solar
junior-faculty,non-OECD,first_time,male,Hal Meade,astrophysics
grad-student,OECD,first_time,male,Richard Smith,solar
grad-student,non-OECD,returning,male,Robert Hartman,astrophysics
junior-faculty,non-OECD,first_time,male,Jeffrey Thomas,cosmology
grad-student,non-OECD,first_time,male,John Kelly,solar
senior-faculty,non-OECD,first_time,male,Sean Dixon,astrophysics
grad-student,non-OECD,returning,male,Lewis Martinez,cosmology
junior-faculty,OECD,first_time,male,Juan Campisi,solar
grad-student,OECD,returning,male,John Martinez,exoplanets
grad-student,OECD,first_time,female,Patty Woods,cosmology
senior-faculty,OECD,returning,male,Bruce Williams,exoplanets
grad-student,OECD,returning,male,Timothy Mcalary,exoplanets
grad-student,non-OECD,returning,male,Timothy Garabedian,astrophysics
senior-faculty,OECD,first_time,male,Steve Hamby,astrophysics
senior-faculty,non-OECD,first_time,male,John Trapp,solar
grad-student,,first_time,male,Raymond Smith,cosmology
junior-faculty,OECD,returning,male,Alphonso Brown,astrophysics
grad-student,non-OECD,returning,male,Shane Hatfield,solar
grad-student,OECD,first_time,female,Jan Colyer,cosmology
senior-faculty,OECD,returning,male,Daron Jackson,solar
junior-faculty,non-OECD,first_time,male,Kenneth Hatter,exoplanets
grad-student,non-OECD,first_time,male,Jason Mathews,astrophysics
junior-faculty,non-OECD,first_time,male,Jeffery Duong,exoplanets
senior-faculty,non-OECD,first_time,male,William King,exoplanets
senior-faculty,OECD,first_time,male,Roger Mcmillan,exoplanets
junior-faculty,non-OECD,first_time,female,Alice Cote,exoplanets
grad-student,non-OECD,first_time,female,Aline Ortiz,cosmology
senior-faculty,OECD,first_time,male,Oscar Fabian,cosmology
junior-faculty,OECD,first_time,male,Joseph Hutchinson,solar
junior-faculty,OECD,first_time,male,Danny Kirk,exoplanets
grad-student,non-OECD,first_time,male,Lee Pedro,solar
senior-faculty,OECD,returning,male,Matthew Scalf,astrophysics
senior-faculty,OECD,returning,male,Kevin Pittman,solar
senior-faculty,non-OECD,first_time,male,Sylvester Lopez,cosmology
senior-faculty,OECD,returning,male,Kenneth Clemon,
junior-faculty,OECD,returning,male,Alfredo Nilson,astrophysics
junior-faculty,non-OECD,returning,male,Thomas Lopez,solar
junior-faculty,non-OECD,first_time,female,Lou Oliver,exoplanets
junior-faculty,non-OECD,returning,female,Amy Rena,solar
senior-faculty,OECD,first_time,male,Cody Camilo,cosmology
senior-faculty,non-OECD,first_time,female,Tommie Tillman,astrophysics
junior-faculty,OECD,returning,male,David Dahlman,exoplanets
grad-student,non-OECD,returning,female,Joan Cheatwood,exoplanets
senior-faculty,OECD,returning,male,Kevin Young,astrophysics
senior-faculty,non-OECD,first_time,male,Martin Shaffer,solar
senior-faculty,non-OECD,first_time,female,Christine Price,exoplanets
grad-student,non-OECD,,female,Leslie Young,solar
grad-student,non-OECD,returning,male,Stephen Merry,cosmology
junior-faculty,,returning,male,Ryan Smith,solar
junior-faculty,non-OECD,returning,male,Benjamin Moss,solar
junior-faculty,non-OECD,returning,male,Daniel Mcdaniels,exoplanets
senior-faculty,non-OECD,first_time,female,Julie Mccarter,exoplanets
grad-student,OECD,first_time,female,Irene Haward,exoplanets
senior-faculty,non-OECD,first_time,male,Greg Luce,astrophysics
senior-faculty,non-OECD,returning,male,William Belle,exoplanets
senior-faculty,non-OECD,first_time,male,Dewitt Rivas,exoplanets
senior-faculty,non-OECD,returning,female,Helen Wille,astrophysics
senior-faculty,non-OECD,returning,male,Harold Martin,solar
senior-faculty,non-OECD,returning,male,Juan Cebula,exoplanets
junior-faculty,OECD,first_time,female,Lindsey Capriotti,astrophysics
grad-student,OECD,returning,male,Mathew Alston,astrophysics
junior-faculty,non-OECD,first_time,male,Ronald Nolen,astrophysics
grad-student,OECD,,male,Miguel Berry,astrophysics
junior-faculty,non-OECD,first_time,female,Linda Clay,exoplanets
senior-faculty,non-OECD,returning,female,Angel Foster,solar
grad-student,OECD,returning,male,Gary Phillips,
grad-student,OECD,returning,,Robert Estrada,cosmology
junior-faculty,non-OECD,returning,male,Alfred Price,astrophysics
senior-faculty,OECD,returning,male,Patrick Brown,exoplanets
grad-student,non-OECD,first_time,male,Dennis Brown,cosmology
grad-student,non-OECD,returning,male,Randall Lauer,astrophysics
senior-faculty,OECD,first_time,female,Cheryl Manning,exoplanets
junior-faculty,OECD,first_time,male,Marshall Trumbore,solar
senior-faculty,OECD,returning,male,Robert Lapalme,solar
junior-faculty,non-OECD,first_time,male,Robert Rosenbarger,exoplanets
senior-faculty,non-OECD,first_time,male,William Alleman,exoplanets
senior-faculty,OECD,returning,male,Dennis Busby,solar
junior-faculty,OECD,first_time,male,James Allard,cosmology
senior-faculty,OECD,first_time,male,Cruz Coppin,cosmology
grad-student,OECD,first_time,male,James Ward,exoplanets
junior-faculty,OECD,returning,male,Clyde Barnwell,exoplanets
junior-faculty,OECD,returning,female,Karen Leathers,astrophysics
senior-faculty,OECD,returning,male,Robert Defabio,solar
junior-faculty,OECD,returning,male,Joseph Long,astrophysics
grad-student,non-OECD,first_time,male,Walter Gamble,astrophysics
senior-faculty,OECD,returning,male,Lee Olsen,exoplanets
grad-student,OECD,returning,male,Randell Ehrlich,exoplanets
grad-student,non-OECD,first_time,male,Gilberto Simmons,solar
grad-student,non-OECD,first_time,female,Devorah Olson,solar
grad-student,OECD,returning,male,Carlos Lunsford,astrophysics
junior-faculty,non-OECD,first_time,male,Ronald Lindeland,solar
grad-student,non-OECD,returning,other,Rose Frazier,cosmology
senior-faculty,non-OECD,first_time,male,John Ortiz,
junior-faculty,non-OECD,returning,female,Beatrice Greco,astrophysics
junior-faculty,OECD,first_time,male,Stanley Shapero,astrophysics
grad-student,OECD,returning,male,Robert Haertel,solar
grad-student,OECD,returning,female,Joann Gagnon,astrophysics
junior-faculty,,returning,male,Wayne Preskar,cosmology
senior-faculty,OECD,returning,male,Phil Jessup,astrophysics
junior-faculty,OECD,first_time,male,Jose Ogden,solar
junior-faculty,OECD,returning,male,Rupert Mims,cosmology
junior-faculty,non-OECD,returning,male,Jeffrey Gordon,solar
junior-faculty,OECD,returning,female,Frances Halm,exoplanets
junior-faculty,OECD,first_time,male,Jackie Albero,solar
junior-faculty,OECD,first_time,male,Marvin Heard,exoplanets
grad-student,non-OECD,first_time,male,James Chavez,exoplanets
grad-student,non-OECD,first_time,female,Ruby Wyatt,exoplanets
grad-student,non-OECD,first_time,male,Jesus Fleming,exoplanets
senior-faculty,,first_time,male,Delbert Loughran,cosmology
junior-faculty,OECD,first_time,male,Steven Begley,solar
junior-faculty,OECD,returning,male,Bob Erdmann,exoplanets
grad-student,non-OECD,first_time,male,Robert Rodman,cosmology
grad-student,non-OECD,returning,male,Paul Richardson,cosmology
junior-faculty,non-OECD,returning,male,Jimmy Henderson,astrophysics
grad-student,OECD,returning,male,Brian Navarro,cosmology
grad-student,OECD,returning,male,Daniel Wicker,solar
senior-faculty,OECD,returning,female,Marie Gatlin,solar
junior-faculty,non-OECD,returning,female,Juanita Godfrey,solar
junior-faculty,OECD,first_time,male,George Smith,
grad-student,OECD,first_time,male,Damon Kounthapanya,cosmology
grad-student,OECD,returning,male,Paul Pineda,exoplanets
senior-faculty,non-OECD,returning,male,Jimmy Conlin,solar
junior-faculty,OECD,returning,male,Matthew Jolicoeur,astrophysics
junior-faculty,non-OECD,returning,male,Richard Wills,solar
senior-faculty,OECD,,male,Oscar Fontana,cosmology
senior-faculty,OECD,returning,male,Alex Thompson,exoplanets
grad-student,OECD,returning,male,Roland Batson,cosmology
grad-student,OECD,first_time,male,Dana Wallace,solar
senior-faculty,non-OECD,returning,male,Matthew Ham,cosmology
senior-faculty,non-OECD,returning,male,Christopher Mayen,solar
grad-student,OECD,first_time,other,Joe Carstarphen,astrophysics
senior-faculty,OECD,first_time,male,Dennis Sea,cosmology
senior-faculty,non-OECD,returning,male,George Daughtry,exoplanets
grad-student,non-OECD,returning,female,Amy Cline,exoplanets
senior-faculty,non-OECD,returning,male,Kendall Killoren,cosmology
senior-faculty,non-OECD,returning,male,Earnest Mullens,solar
grad-student,non-OECD,returning,male,James Jackson,exoplanets
junior-faculty,OECD,first_time,male,Joseph Kaplan,cosmology
grad-student,OECD,first_time,male,Mark Frakes,astrophysics
grad-student,OECD,returning,male,Gary Vergari,cosmology
senior-faculty,non-OECD,first_time,male,Robert Brown,cosmology
,non-OECD,first_time,male,John Rose,solar
grad-student,non-OECD,returning,male,Johnny Burns,cosmology
grad-student,OECD,first_time,male,George Curley,exoplanets
grad-student,non-OECD,first_time,female,Mary Caple,cosmology
junior-faculty,OECD,first_time,male,Ray Demartino,solar
junior-faculty,OECD,returning,male,Damien Mullins,cosmology
senior-faculty,non-OECD,returning,male,David Low,exoplanets
senior-faculty,OECD,first_time,female,Elsie Palmer,astrophysics
grad-student,OECD,first_time,other,Frank Mcconnell,solar
senior-faculty,OECD,returning,male,James Schuttler,cosmology
,non-OECD,returning,female,Carol Cutter,solar
junior-faculty,non-OECD,returning,male,Andrew Pullen,cosmology
grad-student,non-OECD,first_time,female,Mary Pyle,astrophysics
junior-faculty,OECD,returning,male,Ronald Petersen,astrophysics
grad-student,non-OECD,first_time,female,Florence Juarez,cosmology
junior-faculty,OECD,returning,male,Steve Blake,astrophysics
senior-faculty,non-OECD,first_time,male,Samuel Gilroy,solar
grad-student,OECD,returning,male,Billy Atkins,cosmology
junior-faculty,non-OECD,returning,female,Deana Parsons,exoplanets
senior-faculty,non-OECD,returning,male,Frankie Coyle,exoplanets
junior-faculty,non-OECD,returning,male,James Jones,exoplanets
grad-student,OECD,returning,male,Bradley Campbell,cosmology
senior-faculty,OECD,returning,male,Robert Lee,astrophysics
senior-faculty,non-OECD,returning,male,Thomas Robertson,cosmology
senior-faculty,non-OECD,first_time,male,Craig Haddock,solar
senior-faculty,OECD,returning,male,Dan Purcell,solar
junior-faculty,OECD,returning,male,Michael Chacon,astrophysics
junior-faculty,OECD,returning,male,Marcus Olmstead,solar
junior-faculty,OECD,first_time,female,Barbara Porter,exoplanets
grad-student,non-OECD,returning,male,Donald Ullman,astrophysics
junior-faculty,OECD,first_time,female,Susan Scordato,solar
grad-student,OECD,returning,female,Felicia Higgins,astrophysics
junior-faculty,OECD,returning,male,Ezequiel Turner,solar
senior-faculty,OECD,returning,male,Angel Glatt,solar
senior-faculty,OECD,first_time,male,Sammy Nicola,astrophysics
grad-student,non-OECD,returning,male,Carlos Thompson,cosmology
