applicant_name,career_stage,country,first_time,gender,subfield
Pamela Hartness,junior-faculty,OECD,returning,,astrophysics
Juan Hanes,senior-faculty,OECD,first_time,male,astrophysics
William Carter,student,OECD,first_time,male,cosmology
John Bradley,senior-faculty,OECD,returning,male,exoplanets
Young Myers,junior-faculty,OECD,returning,male,exoplanets
Joan Reik,senior-faculty,non-OECD,first_time,female,cosmology
Ralph Moton,senior-faculty,OECD,returning,male,exoplanets
Marissa Plumley,junior-faculty,OECD,first_time,female,exoplanets
Juan Thomas,senior-faculty,OECD,returning,male,solar
Matthew Wooten,junior-faculty,OECD,returning,male,exoplanets
Edward Bevers,junior-faculty,OECD,first_time,male,astrophysics
Robert Vilkama,senior-faculty,OECD,returning,male,cosmology
David Levy,junior-faculty,OECD,first_time,male,exoplanets
Elizabeth Partridge,junior-faculty,OECD,first_time,female,astrophysics
George Minnick,senior-faculty,OECD,returning,male,cosmology
Christopher Smith,student,OECD,returning,male,cosmology
Merle Francour,junior-faculty,OECD,returning,male,astrophysics
Frank Thomas,junior-faculty,OECD,returning,male,astrophysics
Alvin Maye,junior-faculty,OECD,first_time,male,solar
Larissa Doyle,senior-faculty,OECD,first_time,female,solar
Guy Strause,senior-faculty,OECD,returning,male,astrophysics
Alexis Carter,junior-faculty,OECD,returning,male,exoplanets
Juan Salinas,junior-faculty,OECD,returning,male,exoplanets
Cleo Cantrell,junior-faculty,OECD,returning,male,exoplanets
Chester Hatcher,junior-faculty,OECD,first_time,male,solar
Arthur Bayardo,junior-faculty,OECD,returning,male,solar
Robert Newyear,junior-faculty,OECD,returning,male,exoplanets
Crystal Covington,junior-faculty,OECD,returning,female,solar
Adam Mullen,student,,returning,male,solar
Deborah Diaz,junior-faculty,OECD,returning,female,exoplanets
Cherrie Mcginty,junior-faculty,OECD,returning,female,exoplanets
Damien Loynes,junior-faculty,OECD,returning,male,cosmology
Myron Hurst,junior-faculty,OECD,returning,male,solar
Stanley Walker,student,OECD,returning,other,solar
James Carey,student,OECD,returning,male,cosmology
Dwight Chaffin,junior-faculty,OECD,returning,male,solar
Fredrick Schneider,student,OECD,first_time,male,astrophysics
Sterling Minge,junior-faculty,OECD,returning,male,solar
Ronny Wilkerson,senior-faculty,OECD,first_time,male,cosmology
Michael Porter,senior-faculty,OECD,first_time,male,solar
Paul Werner,junior-faculty,OECD,returning,male,cosmology
Angelina Crutchfield,student,OECD,first_time,female,astrophysics
George Armon,senior-faculty,OECD,returning,male,astrophysics
Matthew Nelson,junior-faculty,OECD,first_time,male,cosmology
Pamela Schwarz,junior-faculty,OECD,first_time,female,cosmology
Christian Taylor,junior-faculty,non-OECD,returning,male,cosmology
Scott Jones,senior-faculty,OECD,returning,male,cosmology
Marty Hewins,junior-faculty,OECD,returning,male,astrophysics
Ralph Madison,junior-faculty,OECD,returning,male,astrophysics
Peter Smith,junior-faculty,OECD,returning,male,exoplanets
