applicant_name,career_stage,country,first_time,gender,subfield
Donna Mead,student,non-OECD,first_time,female,cosmology
Kennith Kellogg,senior-faculty,non-OECD,returning,male,solar
Andrew Lee,senior-faculty,non-OECD,returning,male,exoplanets
Tyrone Pulliam,senior-faculty,OECD,first_time,male,cosmology
Dexter Gonzalez,student,OECD,returning,male,astrophysics
Gracia Adams,senior-faculty,non-OECD,returning,female,
Francis Stockton,senior-faculty,non-OECD,returning,male,solar
Manuel Robinson,senior-faculty,OECD,first_time,male,solar
Troy Rivers,junior-faculty,OECD,first_time,male,solar
Steve Cuadros,junior-faculty,OECD,first_time,male,solar
Aaron Groeneweg,senior-faculty,non-OECD,first_time,male,cosmology
Lance Parduhn,junior-faculty,OECD,first_time,other,exoplanets
John Davis,junior-faculty,OECD,first_time,male,cosmology
Stephen Ellis,senior-faculty,non-OECD,first_time,male,exoplanets
Patricia Adams,senior-faculty,OECD,first_time,female,exoplanets
Marcus Thompson,student,non-OECD,returning,male,astrophysics
Carl Peterson,student,non-OECD,first_time,male,astrophysics
Gary James,student,OECD,first_time,male,exoplanets
Robert Warren,senior-faculty,OECD,first_time,male,cosmology
James Petersen,student,non-OECD,returning,male,exoplanets
Brian Obrion,junior-faculty,non-OECD,first_time,male,cosmology
Bennie Kirkwood,senior-faculty,non-OECD,first_time,male,cosmology
Joy Noffsinger,junior-faculty,non-OECD,returning,female,cosmology
Carl Santos,junior-faculty,OECD,first_time,male,solar
Ilona Epstein,student,OECD,first_time,female,solar
Suzanne Jensen,senior-faculty,OECD,,female,astrophysics
Theron Hedrick,student,non-OECD,returning,male,exoplanets
Arturo Johnson,senior-faculty,non-OECD,returning,male,exoplanets
Amy Campbell,student,OECD,first_time,female,cosmology
Valentin Price,student,non-OECD,returning,male,exoplanets
Arthur Miles,junior-faculty,non-OECD,returning,male,solar
Jeffry Velasquez,senior-faculty,OECD,first_time,male,cosmology
Thomas Gonzalez,student,OECD,returning,male,cosmology
Willie Johnson,senior-faculty,OECD,first_time,male,solar
Sean Rickey,junior-faculty,OECD,returning,male,cosmology
Edward Jacob,senior-faculty,non-OECD,first_time,male,exoplanets
Donald Rose,junior-faculty,non-OECD,returning,male,astrophysics
Mark Smith,student,non-OECD,returning,male,exoplanets
Felipe Abu,senior-faculty,OECD,first_time,male,astrophysics
Helen Burkart,senior-faculty,non-OECD,returning,female,astrophysics
Debra Jones,junior-faculty,non-OECD,returning,female,exoplanets
William Vannostrand,senior-faculty,non-OECD,returning,male,solar
Darin King,junior-faculty,non-OECD,first_time,male,cosmology
Neal Vincent,junior-faculty,OECD,first_time,male,cosmology
Scott Andrews,student,OECD,first_time,male,astrophysics
Todd Garcia,student,OECD,first_time,male,cosmology
Mireya Fairman,senior-faculty,non-OECD,returning,female,astrophysics
James Fox,student,non-OECD,first_time,male,solar
John Duggan,senior-faculty,OECD,returning,male,exoplanets
Brandon Chandler,senior-faculty,OECD,first_time,male,astrophysics
