career_stage,country,first_time,gender,name,subfield
junior-faculty,non-OECD,returning,male,Guy Oliver,astrophysics
junior-faculty,OECD,returning,male,Peter Byrd,cosmology
senior-faculty,OECD,returning,male,Dennis Long,cosmology
senior-faculty,non-OECD,first_time,female,Michael Thomas,cosmology
junior-faculty,non-OECD,first_time,male,Raymond Faler,exoplanets
senior-faculty,non-OECD,first_time,male,David Page,astrophysics
senior-faculty,non-OECD,returning,male,Earl Mcdonald,cosmology
junior-faculty,non-OECD,first_time,female,Nancy Reber,astrophysics
junior-faculty,OECD,returning,male,Lucas Miller,solar
senior-faculty,non-OECD,first_time,female,Donna Waldman,
grad-student,OECD,returning,male,Ronald Carter,solar
grad-student,OECD,returning,male,Vince Skiles,astrophysics
senior-faculty,OECD,first_time,male,Thomas Bolden,exoplanets
senior-faculty,OECD,returning,female,Edelmira Dunn,cosmology
senior-faculty,non-OECD,returning,female,Christina Hall,solar
senior-faculty,non-OECD,first_time,male,Billy Wardwell,astrophysics
senior-faculty,OECD,first_time,female,Veronica White,solar
senior-faculty,OECD,returning,male,Jeffrey James,
senior-faculty,non-OECD,returning,male,Chad Smith,solar
senior-faculty,OECD,returning,male,Floyd Salas,exoplanets
junior-faculty,OECD,first_time,female,Rebecca Pedigo,solar
junior-faculty,non-OECD,returning,male,Earl Maxam,solar
senior-faculty,OECD,returning,male,Antonio Whittington,cosmology
junior-faculty,OECD,returning,male,William Herrel,exoplanets
senior-faculty,OECD,returning,male,James Walker,solar
senior-faculty,non-OECD,first_time,male,Warner Orosz,cosmology
senior-faculty,non-OECD,first_time,female,Anna Edler,exoplanets
junior-faculty,OECD,first_time,male,Anthony Salvador,astrophysics
senior-faculty,non-OECD,first_time,female,Crystal Barnes,solar
junior-faculty,non-OECD,returning,male,Elton Lowe,astrophysics
senior-faculty,OECD,first_time,male,Randall Schmidt,astrophysics
grad-student,non-OECD,returning,male,Terry Clagon,solar
junior-faculty,OECD,returning,female,Sally Rodriguez,cosmology
senior-faculty,non-OECD,returning,male,Dewey Underwood,exoplanets
senior-faculty,OECD,first_time,female,Priscilla Espinoza,solar
senior-faculty,OECD,first_time,male,John Jones,solar
senior-faculty,non-OECD,returning,male,Marvin Torres,exoplanets
junior-faculty,OECD,returning,female,Loriann Miller,exoplanets
senior-faculty,non-OECD,returning,male,Dale Mccroskey,cosmology
senior-faculty,OECD,returning,female,Joana Grant,astrophysics
junior-faculty,OECD,first_time,female,Jamie Warren,astrophysics
junior-faculty,OECD,returning,male,Samuel Nelson,solar
senior-faculty,OECD,returning,male,Miguel Reese,cosmology
junior-faculty,non-OECD,returning,male,Michael Miller,solar
senior-faculty,OECD,returning,male,Patrick Freeman,solar
senior-faculty,non-OECD,first_time,male,Mark Winfrey,astrophysics
senior-faculty,OECD,returning,,Virginia Steadman,solar
grad-student,OECD,first_time,male,Christopher Nowlin,solar
grad-student,non-OECD,first_time,male,Juan Meza,solar
senior-faculty,OECD,returning,female,Tracy Wagoner,exoplanets
