applicant_name,career_stage,country,first_time,gender,subfield
Michael Lipsitz,senior-faculty,OECD,returning,male,solar
Eric Ortega,senior-faculty,OECD,returning,male,exoplanets
Roderick Bibbins,senior-faculty,OECD,returning,male,cosmology
Samuel Davis,senior-faculty,non-OECD,returning,male,astrophysics
Gerald Hentz,junior-faculty,OECD,returning,male,cosmology
Walter Ballesteros,senior-faculty,non-OECD,returning,male,cosmology
Robert Emig,senior-faculty,OECD,,male,astrophysics
Kathy Gallian,junior-faculty,OECD,first_time,female,astrophysics
Tiffany Hicks,senior-faculty,non-OECD,returning,female,exoplanets
Andrea Harrel,junior-faculty,OECD,returning,female,cosmology
Michelle Diliberto,senior-faculty,OECD,returning,female,cosmology
Erik Lindsay,junior-faculty,OECD,returning,male,cosmology
William Johnson,senior-faculty,OECD,first_time,male,astrophysics
Angela Grenier,junior-faculty,OECD,returning,female,cosmology
Brian Hafley,senior-faculty,OECD,returning,male,solar
Charles Pooler,junior-faculty,non-OECD,returning,male,solar
Clark Bintner,junior-faculty,OECD,returning,male,solar
Laura Graham,student,OECD,first_time,female,cosmology
Elsa Flores,senior-faculty,OECD,first_time,female,cosmology
Vanessa Sanchez,senior-faculty,OECD,returning,female,cosmology
Thomas Sutherland,junior-faculty,OECD,returning,male,exoplanets
Bryan Lubinski,senior-faculty,OECD,first_time,male,astrophysics
Paul Caballero,student,OECD,returning,male,cosmology
Charlie Free,junior-faculty,OECD,returning,male,astrophysics
John Evans,student,OECD,first_time,male,solar
Charles Warner,junior-faculty,OECD,first_time,male,exoplanets
Robert Baze,junior-faculty,OECD,first_time,male,astrophysics
Leon Timmerman,junior-faculty,OECD,returning,male,cosmology
Margaret Scherman,junior-faculty,OECD,returning,female,astrophysics
Michael Seery,junior-faculty,OECD,first_time,male,astrophysics
Anthony Alexander,junior-faculty,OECD,returning,male,astrophysics
Daniel Ruiz,senior-faculty,OECD,first_time,male,cosmology
Calvin Bird,junior-faculty,OECD,returning,male,astrophysics
Chris Reis,junior-faculty,OECD,returning,male,exoplanets
Ralph Herzberger,junior-faculty,OECD,first_time,male,cosmology
Donald Martinez,student,OECD,returning,male,exoplanets
Ernie Garcia,junior-faculty,OECD,returning,male,solar
Mark Harley,junior-faculty,OECD,returning,male,exoplanets
Corey Castro,junior-faculty,OECD,first_time,male,cosmology
Tracy Priest,senior-faculty,OECD,first_time,other,solar
Frank Cox,junior-faculty,OECD,returning,male,solar
Daniel Nguyen,senior-faculty,OECD,returning,male,cosmology
Richard Smith,junior-faculty,OECD,returning,male,cosmology
Benjamin Baldwin,senior-faculty,OECD,first_time,male,cosmology
Gary Mcgill,junior-faculty,OECD,returning,male,astrophysics
Benjamin Bennett,junior-faculty,OECD,returning,male,exoplanets
Richard Benoist,junior-faculty,OECD,first_time,male,astrophysics
Tony Ellis,student,OECD,returning,male,cosmology
