career_stage,country,first_time,gender,name,subfield
senior-faculty,non-OECD,returning,male,Ernest Song,cosmology
grad-student,non-OECD,returning,male,Alfred Drake,astrophysics
senior-faculty,,returning,male,James Hurt,cosmology
grad-student,OECD,first_time,male,Allen Hildebrandt,exoplanets
senior-faculty,non-OECD,returning,male,Michael Dunn,cosmology
senior-faculty,non-OECD,first_time,male,Clifton Horner,astrophysics
grad-student,non-OECD,first_time,male,Daniel Lengerich,cosmology
grad-student,OECD,first_time,male,Daniel Ellingsworth,astrophysics
grad-student,OECD,first_time,male,William Herauf,astrophysics
grad-student,non-OECD,returning,male,Darrin Sturgis,solar
grad-student,OECD,first_time,male,Steven Smith,astrophysics
senior-faculty,OECD,returning,male,Julius Theriault,solar
junior-faculty,OECD,returning,male,Mitchell Stark,cosmology
grad-student,OECD,returning,male,John Culpepper,solar
junior-faculty,OECD,first_time,male,Vance Gwyn,cosmology
grad-student,OECD,returning,female,Margie Rogers,solar
grad-student,non-OECD,first_time,male,Julio Hibbitt,cosmology
grad-student,non-OECD,returning,male,Michael Espinoza,solar
junior-faculty,non-OECD,,female,Georgia Boyter,astrophysics
senior-faculty,OECD,first_time,male,Robert Hensley,solar
senior-faculty,non-OECD,returning,female,Susan Moreno,solar
senior-faculty,non-OECD,returning,male,George Dorman,solar
junior-faculty,non-OECD,returning,male,James Shedlock,solar
junior-faculty,OECD,first_time,male,Roger Merchant,solar
grad-student,OECD,first_time,male,Derrick Stanfa,solar
senior-faculty,non-OECD,first_time,male,Jesse Thomas,astrophysics
grad-student,OECD,first_time,male,Matthew Opie,astrophysics
senior-faculty,OECD,first_time,male,Charles Hager,cosmology
junior-faculty,OECD,first_time,male,Jeffrey Dincher,astrophysics
senior-faculty,OECD,returning,male,Ricky Glasper,solar
grad-student,OECD,first_time,male,Mark Nieto,exoplanets
senior-faculty,OECD,returning,male,John Belz,solar
senior-faculty,OECD,first_time,male,Amos Lopez,exoplanets
senior-faculty,OECD,first_time,male,James Russell,astrophysics
junior-faculty,OECD,returning,male,Lane Meade,cosmology
grad-student,,returning,male,Robert Thompson,cosmology
senior-faculty,OECD,first_time,female,Maria Wahl,cosmology
junior-faculty,non-OECD,first_time,female,Maria Brown,exoplanets
junior-faculty,OECD,first_time,male,Dean Daniel,exoplanets
senior-faculty,non-OECD,returning,male,Alvin Miller,
junior-faculty,OECD,first_time,male,Paul Valentin,solar
grad-student,OECD,first_time,male,Luis Main,cosmology
grad-student,non-OECD,returning,male,Jermaine Cruz,astrophysics
junior-faculty,non-OECD,first_time,male,Michael Egger,
junior-faculty,OECD,returning,male,Luis Strait,cosmology
senior-faculty,OECD,first_time,female,Lois Cosby,astrophysics
senior-faculty,non-OECD,first_time,male,Daniel Garcia,solar
junior-faculty,OECD,first_time,male,Stephen Bunn,exoplanets
grad-student,non-OECD,first_time,male,Charles Pundt,cosmology
grad-student,non-OECD,returning,male,Jason Holt,solar
