career_stage,country,first_time,gender,name,subfield
grad-student,OECD,first_time,male,Clarence Smith,cosmology
senior-faculty,OECD,first_time,female,Jeanie Torrez,astrophysics
senior-faculty,,,female,Maryetta Carter,astrophysics
senior-faculty,OECD,first_time,male,James Robison,exoplanets
senior-faculty,OECD,returning,male,William Highley,astrophysics
senior-faculty,OECD,returning,male,Larry Locke,exoplanets
senior-faculty,OECD,first_time,male,Duane Flint,astrophysics
senior-faculty,OECD,returning,male,Jessie Tortora,astrophysics
senior-faculty,non-OECD,first_time,male,James Varga,astrophysics
grad-student,OECD,returning,male,Raymond Vernon,cosmology
senior-faculty,non-OECD,returning,male,Michael Paul,solar
junior-faculty,OECD,returning,female,Michelle Meek,cosmology
,OECD,returning,male,James Anderson,solar
senior-faculty,OECD,first_time,male,Julian Young,astrophysics
senior-faculty,OECD,returning,female,Arlene Corbett,cosmology
junior-faculty,OECD,first_time,male,James Mora,exoplanets
senior-faculty,OECD,first_time,male,Jonathan Turner,exoplanets
senior-faculty,,first_time,male,James Bradish,solar
senior-faculty,OECD,first_time,male,Ryan Lang,exoplanets
senior-faculty,non-OECD,returning,male,Daniel Laprade,solar
senior-faculty,non-OECD,first_time,male,David Yepes,
senior-faculty,OECD,returning,male,Mark Emery,exoplanets
senior-faculty,OECD,first_time,female,Carol Hatton,astrophysics
senior-faculty,non-OECD,first_time,female,Wendy Raymond,solar
senior-faculty,non-OECD,first_time,male,John Arnold,cosmology
grad-student,non-OECD,returning,male,Harold Dalton,exoplanets
senior-faculty,non-OECD,first_time,male,Michael Holder,astrophysics
senior-faculty,OECD,returning,male,John Hoffmann,astrophysics
senior-faculty,OECD,first_time,male,Andrew Davis,astrophysics
senior-faculty,non-OECD,returning,male,Emile Comer,solar
senior-faculty,non-OECD,returning,male,Jan Bates,solar
senior-faculty,OECD,first_time,male,Scott Littlefield,cosmology
senior-faculty,non-OECD,returning,,Sarah Torres,cosmology
junior-faculty,OECD,first_time,male,Steven Seever,cosmology
senior-faculty,non-OECD,returning,male,Raymond Cabral,astrophysics
senior-faculty,OECD,returning,male,John Valdez,
senior-faculty,non-OECD,first_time,male,Thomas Vichidvongsa,astrophysics
senior-faculty,OECD,first_time,female,Judith Shelton,solar
senior-faculty,non-OECD,returning,male,Jody Harkless,solar
senior-faculty,OECD,first_time,female,Elza Nitkowski,astrophysics
senior-faculty,OECD,returning,male,George Emerson,cosmology
junior-faculty,OECD,first_time,male,Arthur Peavy,solar
senior-faculty,OECD,returning,male,John Davidson,solar
senior-faculty,non-OECD,returning,male,Ronald Wagner,exoplanets
senior-faculty,OECD,returning,other,Brandon Hill,solar
grad-student,OECD,returning,female,Allie Thibault,exoplanets
senior-faculty,non-OECD,first_time,male,Kevin Hoke,exoplanets
senior-faculty,non-OECD,returning,male,Willie Heavilin,solar
junior-faculty,non-OECD,,male,Douglas Lutes,solar
senior-faculty,OECD,returning,male,Joseph Boutte,solar
grad-student,non-OECD,first_time,male,Fred Cox,cosmology
senior-faculty,OECD,returning,male,Luis Brown,exoplanets
senior-faculty,non-OECD,returning,male,Joshua Olivares,solar
senior-faculty,non-OECD,first_time,male,Leroy Dean,solar
junior-faculty,OECD,returning,female,Rosa Green,solar
senior-faculty,non-OECD,first_time,male,Steven Kelly,exoplanets
senior-faculty,OECD,returning,male,Thomas Fields,exoplanets
senior-faculty,non-OECD,first_time,male,Frederick Monaco,cosmology
senior-faculty,non-OECD,first_time,male,Darrell Thomas,astrophysics
senior-faculty,non-OECD,first_time,male,John Bozek,astrophysics
senior-faculty,OECD,returning,male,Daniel Perry,astrophysics
junior-faculty,OECD,returning,male,Frank Walker,solar
senior-faculty,OECD,first_time,male,David Martinez,cosmology
junior-faculty,OECD,first_time,male,Francis Behring,exoplanets
senior-faculty,non-OECD,returning,male,Anthony Bush,solar
senior-faculty,non-OECD,returning,male,James Hayes,exoplanets
junior-faculty,non-OECD,first_time,male,Bryan Ray,cosmology
senior-faculty,non-OECD,returning,male,William Hetrick,astrophysics
junior-faculty,non-OECD,first_time,other,Darlene Defibaugh,cosmology
senior-faculty,non-OECD,first_time,male,Wallace Vellekamp,solar
senior-faculty,OECD,returning,male,Brian Mccloskey,solar
senior-faculty,non-OECD,first_time,female,Karin Kim,exoplanets
senior-faculty,non-OECD,returning,male,Tracy Hetrick,solar
junior-faculty,OECD,returning,male,Ralph Hammett,exoplanets
grad-student,non-OECD,first_time,female,Lin Thomas,astrophysics
senior-faculty,OECD,first_time,female,Mary Aldrich,cosmology
grad-student,non-OECD,first_time,female,Thelma Lawson,solar
senior-faculty,non-OECD,returning,male,Roger Olson,solar
,non-OECD,first_time,male,Merle Martinez,astrophysics
junior-faculty,OECD,first_time,male,Jessie Neally,exoplanets
senior-faculty,OECD,first_time,male,Jeffery Redick,exoplanets
senior-faculty,OECD,first_time,female,Judy Mclellan,astrophysics
grad-student,OECD,first_time,male,Paul Fruchter,exoplanets
junior-faculty,OECD,first_time,male,Steven Wilson,cosmology
senior-faculty,non-OECD,first_time,male,Bob Mckemie,exoplanets
grad-student,non-OECD,first_time,male,Herbert Cook,solar
senior-faculty,OECD,first_time,male,Walter Brown,solar
junior-faculty,non-OECD,first_time,male,Earl Hoff,cosmology
junior-faculty,non-OECD,returning,male,Jeffrey Haydu,
senior-faculty,OECD,returning,male,Stanley Cotton,exoplanets
senior-faculty,,returning,male,Donald Koon,exoplanets
senior-faculty,OECD,returning,male,Edwin Phillips,cosmology
senior-faculty,non-OECD,returning,male,Richard Dunn,astrophysics
senior-faculty,OECD,returning,male,Jeffery Sabol,
senior-faculty,OECD,first_time,male,Charles Potter,solar
senior-faculty,non-OECD,first_time,male,Harold Yuen,exoplanets
senior-faculty,OECD,returning,female,Adriane Scanlon,solar
junior-faculty,non-OECD,first_time,female,Carol Burmside,exoplanets
grad-student,OECD,first_time,male,Casey Delgado,cosmology
senior-faculty,OECD,first_time,male,Bobby Salk,astrophysics
senior-faculty,non-OECD,returning,male,Michael Dominion,astrophysics
senior-faculty,OECD,returning,female,Dulce Mckeller,solar
senior-faculty,non-OECD,returning,male,Marvin Elkin,cosmology
senior-faculty,non-OECD,first_time,female,Anita Bryant,cosmology
grad-student,OECD,returning,male,Anthony Irons,exoplanets
senior-faculty,OECD,first_time,male,Robert Nelson,exoplanets
junior-faculty,non-OECD,returning,male,Martin Smith,solar
senior-faculty,OECD,,female,Karen Petty,solar
senior-faculty,OECD,first_time,male,John Temple,solar
senior-faculty,OECD,returning,male,Sam Baughn,astrophysics
,OECD,first_time,male,Ricky Cogdill,solar
senior-faculty,non-OECD,returning,male,Kareem Gold,cosmology
senior-faculty,OECD,first_time,male,Michael Schmidt,solar
junior-faculty,non-OECD,returning,female,Muriel Pokorny,exoplanets
grad-student,OECD,first_time,male,Matthew Warfield,solar
senior-faculty,non-OECD,returning,male,Christopher Sanchez,solar
senior-faculty,OECD,returning,male,Charles Steele,cosmology
senior-faculty,OECD,first_time,male,Fredrick Meehan,exoplanets
senior-faculty,non-OECD,first_time,female,Marcella Fisher,solar
senior-faculty,OECD,first_time,male,Richard Strand,solar
junior-faculty,OECD,first_time,male,Paul Goad,solar
grad-student,OECD,first_time,male,William Ahmed,astrophysics
senior-faculty,OECD,first_time,male,John Rouleau,astrophysics
senior-faculty,OECD,returning,male,Ben Woodberry,solar
senior-faculty,non-OECD,first_time,male,William Diaz,exoplanets
senior-faculty,non-OECD,first_time,male,Timothy Kendrick,solar
senior-faculty,OECD,returning,male,Zachary Hernandez,astrophysics
junior-faculty,non-OECD,returning,male,Wayne Perez,astrophysics
senior-faculty,non-OECD,first_time,male,Andy Zanchez,cosmology
senior-faculty,OECD,first_time,male,Walter Smith,astrophysics
senior-faculty,OECD,returning,male,John Crook,cosmology
senior-faculty,non-OECD,returning,male,Kent Hall,
senior-faculty,non-OECD,first_time,male,Noble Russell,exoplanets
junior-faculty,non-OECD,first_time,male,Steve Fitzpatrick,astrophysics
senior-faculty,non-OECD,returning,male,Norman Givens,astrophysics
senior-faculty,non-OECD,returning,male,Michael Rosasco,astrophysics
senior-faculty,OECD,returning,male,Harry Crews,astrophysics
senior-faculty,OECD,first_time,male,Devin Bigelow,solar
senior-faculty,OECD,returning,male,Reggie Erickson,cosmology
junior-faculty,non-OECD,returning,male,Bruce Norton,exoplanets
grad-student,,returning,male,Marvin Rozanski,exoplanets
,OECD,first_time,male,Robert Matthews,solar
senior-faculty,non-OECD,returning,,Brian Licata,exoplanets
senior-faculty,OECD,returning,female,Linda Newell,exoplanets
senior-faculty,OECD,returning,male,Brian Branchaud,exoplanets
senior-faculty,OECD,first_time,male,Joseph Davis,solar
senior-faculty,non-OECD,first_time,male,Earl Pratt,exoplanets
junior-faculty,non-OECD,returning,male,Emil Cunanan,exoplanets
senior-faculty,OECD,first_time,male,Jimmy Esparza,cosmology
senior-faculty,non-OECD,first_time,male,George Kelly,astrophysics
grad-student,OECD,first_time,male,Joshua Phillips,cosmology
senior-faculty,non-OECD,returning,male,Steven Ortega,solar
senior-faculty,non-OECD,first_time,male,Herbert Sansburn,solar
grad-student,non-OECD,returning,male,Martin Tait,astrophysics
senior-faculty,non-OECD,first_time,male,Benjamin Cook,astrophysics
grad-student,non-OECD,first_time,male,Charles Barber,solar
grad-student,OECD,first_time,male,Bobby Mitton,astrophysics
grad-student,OECD,first_time,male,Oscar Baird,astrophysics
grad-student,OECD,first_time,female,Denise Nichols,cosmology
senior-faculty,non-OECD,returning,male,John Swinney,exoplanets
senior-faculty,non-OECD,first_time,male,Carlo Burgess,astrophysics
grad-student,non-OECD,,male,Christopher Austin,solar
senior-faculty,OECD,first_time,male,Thomas Austin,exoplanets
junior-faculty,non-OECD,returning,male,Otto Reynolds,astrophysics
senior-faculty,non-OECD,first_time,male,Gabriel Handy,cosmology
senior-faculty,OECD,returning,male,Robert Schwerdtfeger,solar
senior-faculty,non-OECD,returning,,Nancy Kelley,astrophysics
junior-faculty,non-OECD,first_time,male,Justin Duncan,astrophysics
senior-faculty,OECD,first_time,male,Ronald Pellett,astrophysics
junior-faculty,OECD,returning,male,James Moser,cosmology
senior-faculty,non-OECD,first_time,male,Walter Phillips,cosmology
senior-faculty,non-OECD,first_time,male,John Faircloth,solar
senior-faculty,non-OECD,returning,female,Theresa Price,astrophysics
senior-faculty,OECD,returning,male,George Fraher,solar
senior-faculty,OECD,returning,male,Gerald Rodriguez,solar
,OECD,returning,female,Susan Amorin,exoplanets
senior-faculty,non-OECD,returning,male,Steven Louis,astrophysics
senior-faculty,OECD,returning,female,Shirley Sullivan,exoplanets
junior-faculty,,returning,male,Clarence Hughes,cosmology
grad-student,non-OECD,first_time,male,Steven Reilly,cosmology
senior-faculty,non-OECD,returning,male,Ulysses Shulz,astrophysics
senior-faculty,non-OECD,first_time,male,Raymond Saathoff,exoplanets
senior-faculty,non-OECD,returning,male,Mark Chase,astrophysics
junior-faculty,non-OECD,first_time,female,Bobbie Oconnor,astrophysics
senior-faculty,non-OECD,first_time,female,Brenda Clark,astrophysics
junior-faculty,OECD,returning,male,Carmelo Williams,astrophysics
senior-faculty,OECD,first_time,male,Wilfredo Glover,cosmology
junior-faculty,non-OECD,,female,Jean Twombly,exoplanets
senior-faculty,OECD,first_time,male,Robert Reyes,
senior-faculty,OECD,returning,male,Edgar Hendricks,astrophysics
senior-faculty,non-OECD,first_time,male,Francisco Kern,cosmology
senior-faculty,OECD,first_time,male,William Johnson,solar
junior-faculty,non-OECD,returning,female,Darlene Denney,astrophysics
junior-faculty,non-OECD,returning,male,Jesse Stone,exoplanets
senior-faculty,OECD,first_time,male,Francis Babb,solar
senior-faculty,OECD,first_time,female,Wilma Mchaney,solar
senior-faculty,non-OECD,first_time,male,Charles Hickel,exoplanets
senior-faculty,OECD,first_time,male,Bryan White,solar
senior-faculty,OECD,returning,male,Earl John,solar
senior-faculty,OECD,returning,male,Jarrod Payne,solar
senior-faculty,OECD,first_time,male,James Crittenden,solar
senior-faculty,non-OECD,returning,male,Randall Money,astrophysics
,OECD,first_time,male,Paul Cole,exoplanets
senior-faculty,non-OECD,returning,male,William Sturgis,exoplanets
junior-faculty,OECD,first_time,male,Rick Hughley,solar
senior-faculty,non-OECD,returning,male,Jean Jones,cosmology
senior-faculty,OECD,returning,male,Gregg Oppegard,exoplanets
junior-faculty,non-OECD,first_time,male,Darnell George,cosmology
junior-faculty,non-OECD,first_time,male,Timothy Wright,astrophysics
junior-faculty,OECD,first_time,male,Joseph Orosco,exoplanets
senior-faculty,non-OECD,first_time,female,Edna Meggs,astrophysics
,non-OECD,first_time,male,William Dinkel,solar
junior-faculty,OECD,returning,male,Johnny Welch,astrophysics
senior-faculty,OECD,first_time,female,Marilyn Alger,astrophysics
senior-faculty,non-OECD,returning,female,Rosalinda Hurd,cosmology
senior-faculty,OECD,first_time,female,Jennie Fisher,exoplanets
senior-faculty,OECD,returning,female,Sharon Mitchell,exoplanets
senior-faculty,non-OECD,returning,female,Dione Hecht,
grad-student,OECD,returning,female,Linda Macias,astrophysics
junior-faculty,OECD,first_time,female,Carolyn Schrader,cosmology
senior-faculty,non-OECD,returning,female,Christine Martinie,solar
senior-faculty,OECD,first_time,male,Anthony Bangs,solar
senior-faculty,OECD,first_time,female,Grace Boyd,astrophysics
junior-faculty,OECD,first_time,male,Terrence Faith,exoplanets
grad-student,OECD,returning,male,Jason Simms,exoplanets
senior-faculty,OECD,first_time,male,Timothy Mayfield,exoplanets
senior-faculty,non-OECD,,male,John Bailey,exoplanets
,OECD,first_time,male,Paul Vega,exoplanets
senior-faculty,OECD,returning,female,Cindy Pujol,cosmology
senior-faculty,non-OECD,first_time,male,Christopher Melia,exoplanets
senior-faculty,OECD,first_time,male,John Chapman,cosmology
senior-faculty,non-OECD,first_time,male,Timothy Means,exoplanets
junior-faculty,OECD,first_time,male,Donald Kowal,solar
senior-faculty,non-OECD,first_time,male,Ronald Cisneros,exoplanets
senior-faculty,OECD,returning,male,Terrence Thorpe,astrophysics
senior-faculty,,first_time,male,Robert Smith,cosmology
grad-student,OECD,returning,male,Jeremiah Espinoza,cosmology
senior-faculty,OECD,returning,male,Gregory Williams,exoplanets
junior-faculty,non-OECD,first_time,male,James Oliver,cosmology
junior-faculty,OECD,returning,male,Clifford Sam,astrophysics
junior-faculty,non-OECD,first_time,male,Karl Johnston,cosmology
senior-faculty,non-OECD,returning,male,Timothy Walker,cosmology
senior-faculty,non-OECD,returning,female,Alice Turner,exoplanets
senior-faculty,non-OECD,first_time,female,Yolanda Olmos,astrophysics
junior-faculty,OECD,first_time,male,Terrance Durazo,exoplanets
senior-faculty,non-OECD,returning,male,Kevin Marin,cosmology
junior-faculty,non-OECD,first_time,male,Wesley Ralph,exoplanets
senior-faculty,OECD,returning,female,Kristy Young,cosmology
senior-faculty,OECD,returning,male,Andrew Smythe,exoplanets
senior-faculty,non-OECD,returning,male,Nelson Moore,astrophysics
senior-faculty,OECD,returning,male,Barton Braun,cosmology
junior-faculty,non-OECD,returning,male,Lester Cruz,exoplanets
junior-faculty,non-OECD,first_time,female,Jeanne Smith,cosmology
senior-faculty,non-OECD,first_time,male,Sandy Anthony,astrophysics
senior-faculty,non-OECD,first_time,male,David Wise,cosmology
senior-faculty,non-OECD,returning,male,George Bunker,cosmology
senior-faculty,OECD,returning,male,Ira Neil,exoplanets
senior-faculty,OECD,returning,male,David Sloan,exoplanets
,non-OECD,returning,male,Stuart May,astrophysics
senior-faculty,OECD,first_time,male,Joe Mallett,
senior-faculty,OECD,first_time,male,Glen Blalock,astrophysics
senior-faculty,OECD,returning,female,Joan Fouse,cosmology
senior-faculty,non-OECD,returning,male,Donald Phan,astrophysics
senior-faculty,non-OECD,returning,male,Michael Schackow,exoplanets
senior-faculty,OECD,first_time,male,Ryan Evans,astrophysics
senior-faculty,non-OECD,first_time,male,Maurice Gray,cosmology
senior-faculty,OECD,returning,male,Wesley Roldan,exoplanets
senior-faculty,non-OECD,returning,female,Lena Byerly,solar
senior-faculty,non-OECD,first_time,male,Joe Vossler,cosmology
grad-student,OECD,returning,female,Janet Turner,astrophysics
junior-faculty,OECD,returning,male,William Cardillo,solar
junior-faculty,OECD,first_time,female,Theresa London,astrophysics
senior-faculty,non-OECD,first_time,female,Kelli Mcgranor,astrophysics
senior-faculty,non-OECD,first_time,male,Terrance Grant,
grad-student,OECD,first_time,male,Guadalupe Tuller,cosmology
senior-faculty,OECD,returning,male,Adam Stickley,astrophysics
senior-faculty,OECD,returning,male,Elwood Lopez,astrophysics
grad-student,non-OECD,returning,male,Jason Barnes,cosmology
senior-faculty,OECD,first_time,male,Douglas Wagner,astrophysics
grad-student,non-OECD,returning,male,William Huth,solar
senior-faculty,OECD,first_time,male,Marion Hauer,solar
senior-faculty,OECD,returning,male,John Johnson,solar
senior-faculty,non-OECD,returning,male,Harvey Lopez,exoplanets
senior-faculty,OECD,returning,male,Michael Mcdonald,cosmology
senior-faculty,non-OECD,returning,male,Yong Rice,astrophysics
junior-faculty,OECD,returning,female,Mary Franklin,solar
senior-faculty,OECD,returning,male,Craig West,solar
senior-faculty,OECD,first_time,male,Warren Davis,exoplanets
senior-faculty,non-OECD,returning,male,Larry Hendrix,astrophysics
senior-faculty,OECD,returning,male,Micheal Kolbe,astrophysics
senior-faculty,OECD,first_time,male,Christopher Nielsen,astrophysics
senior-faculty,non-OECD,first_time,other,Walter Beasley,exoplanets
senior-faculty,OECD,first_time,male,Marcus Nichols,astrophysics
junior-faculty,non-OECD,returning,male,Billy Pritchard,solar
grad-student,OECD,returning,male,Warren Bowen,
senior-faculty,non-OECD,returning,male,Shad Bartley,exoplanets
grad-student,non-OECD,returning,male,Alan Riedel,exoplanets
senior-faculty,OECD,returning,male,Patrick Patterson,exoplanets
senior-faculty,OECD,first_time,male,Andrew Green,solar
senior-faculty,OECD,returning,other,Timothy Garcia,astrophysics
