career_stage,country,first_time,gender,name,subfield
junior-faculty,OECD,returning,female,Anna Talbot,cosmology
junior-faculty,non-OECD,first_time,,James Weintraub,cosmology
senior-faculty,OECD,returning,female,Jeanne Fish,exoplanets
junior-faculty,non-OECD,returning,male,Erik Steele,cosmology
senior-faculty,OECD,returning,male,Phillip Stuart,cosmology
junior-faculty,OECD,returning,male,Andres Dowd,astrophysics
,OECD,first_time,male,Robert Horne,solar
,OECD,,male,Richard Fischer,cosmology
,OECD,returning,female,Lillian Pope,cosmology
junior-faculty,OECD,returning,male,Antonio Cotto,cosmology
junior-faculty,OECD,returning,,Peggy Cannon,astrophysics
junior-faculty,OECD,,male,Jeremiah Gentry,cosmology
senior-faculty,OECD,returning,male,Christopher Hall,exoplanets
senior-faculty,OECD,first_time,male,Ashley Busch,cosmology
senior-faculty,OECD,,female,Elnora Weidner,cosmology
junior-faculty,non-OECD,first_time,female,Haydee Kruse,cosmology
junior-faculty,OECD,first_time,,Robert Albrekht,cosmology
junior-faculty,OECD,returning,female,Bertha Moore,cosmology
junior-faculty,OECD,returning,,Carolyn Flanigan,solar
senior-faculty,,first_time,male,Stephen Bennett,cosmology
