applicant_name,career_stage,country,first_time,gender,subfield
Rachelle Ransom,senior-faculty,non-OECD,returning,female,cosmology
George Robinson,senior-faculty,OECD,returning,male,astrophysics
Tony Pinson,junior-faculty,OECD,first_time,male,astrophysics
Victor Brown,senior-faculty,OECD,returning,male,astrophysics
Craig Carmichael,junior-faculty,non-OECD,,male,
Stephen Borchardt,senior-faculty,OECD,first_time,male,cosmology
Brandon Smith,senior-faculty,non-OECD,first_time,male,exoplanets
Ralph Rodas,student,OECD,returning,male,solar
Dale Sweet,student,OECD,first_time,male,exoplanets
Dawn Garibay,junior-faculty,OECD,returning,female,astrophysics
Michael Bush,student,non-OECD,returning,male,cosmology
Elizabeth Norris,junior-faculty,non-OECD,first_time,female,solar
Mildred Ken,junior-faculty,OECD,returning,female,
Aaron Connealy,student,OECD,returning,male,astrophysics
Joseph Anthony,,OECD,returning,male,solar
Raymond Oneill,junior-faculty,OECD,returning,male,astrophysics
Arthur New,student,OECD,returning,male,exoplanets
Sandy Ramos,junior-faculty,OECD,returning,female,cosmology
William Moody,student,non-OECD,first_time,male,cosmology
George Mello,senior-faculty,OECD,returning,male,cosmology
Carl Collins,student,non-OECD,returning,male,astrophysics
Tony Pappalardo,senior-faculty,OECD,first_time,male,cosmology
Phyllis Williams,student,OECD,first_time,other,exoplanets
Marvin Zuber,junior-faculty,OECD,returning,male,astrophysics
Miriam Bell,student,OECD,returning,female,solar
Tami Wake,student,OECD,first_time,female,cosmology
Harold Porter,junior-faculty,OECD,returning,male,cosmology
Thomas Frost,junior-faculty,OECD,first_time,male,solar
David Stewart,junior-faculty,non-OECD,returning,male,astrophysics
Barbara Washington,senior-faculty,non-OECD,first_time,female,cosmology
Trisha Valencia,,non-OECD,first_time,female,cosmology
Veronica Pearson,junior-faculty,non-OECD,first_time,female,cosmology
Earl Morris,student,non-OECD,first_time,male,exoplanets
Mike Finch,junior-faculty,non-OECD,returning,male,exoplanets
Wayne Gorder,senior-faculty,non-OECD,returning,male,exoplanets
Damon Brayton,student,non-OECD,first_time,male,astrophysics
Gary Moore,junior-faculty,OECD,first_time,male,exoplanets
Domingo Easley,senior-faculty,OECD,first_time,male,solar
Alphonse Jones,student,OECD,first_time,male,solar
Liza Sood,senior-faculty,non-OECD,returning,female,astrophysics
Chad Howard,student,OECD,first_time,male,astrophysics
Geraldine Mayfield,senior-faculty,non-OECD,returning,female,astrophysics
Patrick Marchese,junior-faculty,non-OECD,first_time,male,solar
Justin Skaggs,junior-faculty,non-OECD,first_time,male,astrophysics
John Perez,junior-faculty,OECD,returning,male,cosmology
Michael Garden,senior-faculty,OECD,first_time,male,astrophysics
Joshua Langford,senior-faculty,OECD,first_time,male,astrophysics
Juan Wu,junior-faculty,non-OECD,first_time,male,astrophysics
Bernardo Bequette,student,OECD,returning,male,cosmology
John January,senior-faculty,OECD,returning,male,exoplanets
Anna Harris,student,OECD,returning,female,astrophysics
Jake Immediato,junior-faculty,OECD,first_time,male,cosmology
Evelyn Dow,student,non-OECD,first_time,female,exoplanets
Steven Pommer,senior-faculty,OECD,returning,male,exoplanets
Kelly Sullivan,student,non-OECD,first_time,female,exoplanets
Ann Porat,senior-faculty,non-OECD,first_time,female,cosmology
Jose Gonzalez,senior-faculty,OECD,returning,male,exoplanets
Jeffrey Taylor,student,non-OECD,first_time,male,cosmology
Susan Lipman,student,non-OECD,returning,female,astrophysics
Mary Curtis,student,OECD,returning,female,exoplanets
Herman Bernard,junior-faculty,OECD,returning,male,solar
Martin Mathis,senior-faculty,non-OECD,first_time,male,exoplanets
Ed Gipson,senior-faculty,OECD,returning,male,solar
Gregory Crum,junior-faculty,OECD,returning,male,exoplanets
Louis Humphrey,senior-faculty,OECD,first_time,male,
Patrick Head,junior-faculty,non-OECD,returning,male,astrophysics
Michael Deslauriers,senior-faculty,non-OECD,returning,male,astrophysics
Maurice Hashim,student,non-OECD,first_time,male,solar
Joseph Marinelli,junior-faculty,non-OECD,first_time,male,
Florence Llewellyn,student,OECD,first_time,female,solar
Andy Stangl,student,OECD,returning,male,solar
Cornelius Collier,junior-faculty,non-OECD,returning,male,cosmology
Antione Harris,junior-faculty,non-OECD,first_time,male,exoplanets
Micheal Stewart,student,,returning,male,exoplanets
Edmund Mccommons,junior-faculty,non-OECD,first_time,male,exoplanets
David Kelash,junior-faculty,non-OECD,returning,male,cosmology
Rodney Garcia,junior-faculty,OECD,first_time,male,cosmology
Roy Wallin,student,non-OECD,first_time,male,solar
John Baldwin,senior-faculty,non-OECD,returning,male,cosmology
Alicia Casella,senior-faculty,OECD,first_time,female,exoplanets
Jimmy Frost,junior-faculty,OECD,,male,cosmology
