applicant_name,career_stage,country,first_time,gender,subfield
Raymond Satterthwaite,junior-faculty,non-OECD,first_time,male,
James Han,student,non-OECD,first_time,male,cosmology
Joyce Weaver,student,non-OECD,returning,female,cosmology
Un Simmons,student,non-OECD,returning,female,solar
Daniel Vessell,student,non-OECD,returning,male,cosmology
Jean Turner,student,OECD,first_time,female,cosmology
Sue Brown,senior-faculty,non-OECD,returning,female,exoplanets
John Gipson,junior-faculty,non-OECD,returning,male,exoplanets
Mickey Campos,senior-faculty,non-OECD,first_time,female,cosmology
Kimberly Bacon,senior-faculty,OECD,returning,female,exoplanets
Mary Ward,student,OECD,returning,female,solar
Norma Constantini,junior-faculty,non-OECD,first_time,female,solar
Matthew Bankhead,junior-faculty,OECD,first_time,male,solar
Heather Riley,student,non-OECD,returning,female,exoplanets
Michael Mavai,student,non-OECD,first_time,male,exoplanets
Ricardo Capizzi,student,OECD,first_time,male,solar
Len Weber,student,non-OECD,returning,male,cosmology
Thomas Wine,senior-faculty,OECD,returning,male,astrophysics
Teresa Hong,student,non-OECD,first_time,female,cosmology
Beth Hirz,junior-faculty,OECD,first_time,female,astrophysics
Alicia Williams,junior-faculty,non-OECD,first_time,female,astrophysics
Anna Sansotta,senior-faculty,OECD,returning,female,exoplanets
Lawrence Thompson,student,non-OECD,first_time,male,astrophysics
Ramon Craig,student,non-OECD,returning,male,astrophysics
Charles Valerius,junior-faculty,non-OECD,first_time,male,exoplanets
Kimberly Banks,senior-faculty,non-OECD,first_time,female,exoplanets
Maria Degreenia,student,non-OECD,returning,female,solar
Edna Taylor,senior-faculty,non-OECD,first_time,female,exoplanets
Edwin Jensen,senior-faculty,non-OECD,,male,
Renee Franco,senior-faculty,OECD,returning,female,solar
William Hickson,junior-faculty,non-OECD,returning,other,solar
Nancy Mooney,student,OECD,first_time,female,cosmology
Minh Schroeder,student,OECD,returning,male,exoplanets
Ismael Walsh,student,non-OECD,first_time,male,exoplanets
Norman Liu,senior-faculty,,returning,male,astrophysics
George Gentry,student,OECD,returning,male,cosmology
Miguel Wells,junior-faculty,OECD,returning,male,exoplanets
James Lewis,senior-faculty,OECD,first_time,male,cosmology
Elisa Schuch,senior-faculty,OECD,first_time,female,cosmology
Ashley Montgomery,junior-faculty,non-OECD,returning,female,solar
Tim Shell,junior-faculty,OECD,first_time,male,cosmology
Heather Lebow,senior-faculty,OECD,first_time,female,solar
Joe Horsley,junior-faculty,OECD,returning,male,exoplanets
Ashley Brown,senior-faculty,non-OECD,returning,female,astrophysics
Shirley Dixon,junior-faculty,OECD,first_time,female,cosmology
Kathleen Marcinkiewicz,junior-faculty,non-OECD,first_time,female,exoplanets
Clara Gramling,junior-faculty,non-OECD,first_time,female,solar
Heather Davis,student,non-OECD,first_time,female,solar
Mable Hodnett,junior-faculty,non-OECD,returning,female,astrophysics
Steven Clarkson,senior-faculty,OECD,first_time,male,exoplanets
