applicant_name,career_stage,country,first_time,gender,subfield
Hubert Locicero,senior-faculty,OECD,first_time,male,exoplanets
William Richard,student,non-OECD,first_time,male,cosmology
Ashley Bowers,junior-faculty,OECD,returning,female,cosmology
Roy Hilburn,student,OECD,returning,male,exoplanets
Clint Diaz,student,OECD,returning,male,cosmology
Joshua Robinson,junior-faculty,non-OECD,first_time,male,exoplanets
Richard Bellas,student,OECD,first_time,male,cosmology
James Richards,student,OECD,first_time,male,exoplanets
James Hawley,senior-faculty,non-OECD,first_time,male,cosmology
Robert Rocha,junior-faculty,non-OECD,first_time,male,astrophysics
Dick Peterson,junior-faculty,OECD,first_time,male,cosmology
Gabriel Ramirez,student,non-OECD,returning,male,solar
Silas Jenkins,student,OECD,returning,male,exoplanets
Malcolm Wagner,,OECD,returning,male,cosmology
Jerry Stoltz,senior-faculty,OECD,first_time,male,cosmology
James Lush,student,OECD,returning,male,cosmology
Howard Watson,junior-faculty,OECD,first_time,male,exoplanets
Sandy Schulz,junior-faculty,OECD,first_time,other,
Robert Harris,junior-faculty,OECD,returning,male,exoplanets
Hattie Rodriguez,junior-faculty,non-OECD,returning,female,cosmology
Harvey Pare,student,non-OECD,first_time,male,cosmology
Karen Mccarver,senior-faculty,non-OECD,returning,female,cosmology
Mary Abbott,junior-faculty,OECD,first_time,female,exoplanets
Nikki Alexander,student,non-OECD,returning,female,astrophysics
Larry Buttry,junior-faculty,OECD,returning,male,exoplanets
Chris Roussos,senior-faculty,OECD,,male,cosmology
Richard Swan,student,non-OECD,returning,male,cosmology
Anna Barnes,senior-faculty,OECD,first_time,female,exoplanets
Lorenzo Patterson,senior-faculty,non-OECD,first_time,male,cosmology
Jimmy Carr,student,non-OECD,returning,male,exoplanets
