career_stage,country,first_time,gender,name,subfield
senior-faculty,OECD,,female,Gladys Barrett,exoplanets
senior-faculty,OECD,returning,male,Benito Ruff,astrophysics
grad-student,OECD,first_time,other,Willie Harbin,astrophysics
junior-faculty,OECD,returning,female,Nancy Serrano,cosmology
senior-faculty,OECD,returning,female,Ruth Mastoris,exoplanets
senior-faculty,non-OECD,returning,male,Dante German,solar
senior-faculty,non-OECD,first_time,male,Stephen Lotton,solar
grad-student,OECD,returning,male,Lucas Brinlee,astrophysics
grad-student,OECD,first_time,male,Joseph Heath,astrophysics
junior-faculty,OECD,first_time,female,Marjorie Cardenas,cosmology
senior-faculty,OECD,returning,male,Gary Dowell,astrophysics
grad-student,OECD,returning,female,Jamie Walker,astrophysics
grad-student,OECD,first_time,male,Alfred Glover,cosmology
senior-faculty,OECD,returning,female,Kimberly Amie,
junior-faculty,OECD,first_time,female,Holly Denniston,solar
grad-student,non-OECD,returning,male,Stephen Scott,astrophysics
junior-faculty,OECD,returning,female,Shannon Holloway,solar
senior-faculty,OECD,first_time,male,Anthony Mone,cosmology
junior-faculty,OECD,returning,,Donna Lumukanda,cosmology
senior-faculty,OECD,returning,female,Kristen Mcanally,cosmology
junior-faculty,OECD,first_time,female,Lisa Talley,astrophysics
junior-faculty,OECD,first_time,male,Richard Brayton,astrophysics
senior-faculty,OECD,returning,female,Karen Schmidt,exoplanets
grad-student,OECD,returning,male,William Park,solar
senior-faculty,OECD,first_time,female,Debra Stevens,exoplanets
junior-faculty,OECD,returning,female,Rebeca Iozzi,exoplanets
senior-faculty,OECD,returning,female,Raquel Rich,cosmology
junior-faculty,OECD,returning,female,Ethel Moss,astrophysics
grad-student,OECD,returning,male,Thomas Mason,exoplanets
junior-faculty,OECD,returning,male,Kenneth Holmes,cosmology
grad-student,OECD,returning,male,Kevin Gooch,astrophysics
grad-student,OECD,first_time,male,Douglas Robinson,astrophysics
junior-faculty,OECD,returning,female,Margie Kenner,astrophysics
grad-student,OECD,returning,female,Dena Ruiz,exoplanets
senior-faculty,OECD,first_time,male,John Meyer,
senior-faculty,OECD,returning,female,Lili Armstrong,solar
senior-faculty,OECD,returning,female,Linda Ferko,astrophysics
grad-student,OECD,first_time,female,Hyun Cooksey,astrophysics
junior-faculty,OECD,first_time,female,Georgia Carroll,exoplanets
junior-faculty,OECD,returning,male,Russell Correia,cosmology
senior-faculty,OECD,first_time,male,Chad Glidewell,
junior-faculty,OECD,first_time,female,Wanda Mcneal,exoplanets
junior-faculty,OECD,returning,male,Jerome Coffee,solar
grad-student,non-OECD,first_time,male,Freddie Bozeman,astrophysics
junior-faculty,OECD,first_time,female,Shannan Selby,exoplanets
senior-faculty,OECD,returning,male,Matthew Siqueiros,exoplanets
grad-student,OECD,first_time,female,Karen Lindsey,cosmology
senior-faculty,OECD,returning,male,Raymond Murphy,exoplanets
senior-faculty,OECD,returning,male,Don Savell,cosmology
grad-student,OECD,returning,female,Katie Lacy,solar
